Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-1838,17,364,,150,268,458,,-40,45,,,63,123,125,,,-2,,,,,
,-681,-15,-818,,-784,-828,-908,,-756,-770,,,-813,-791,-810,,,3,,,,,
,596,,-4055,,-3112,-3810,-4943,,-2616,-2976,,,-3540,-3517,-3850,,,-1,,,,,
,305,,-2112,,-1156,-1609,-2516,,-667,-768,,,-1146,-1211,-1459,,,,,,,,
,-782,-2,-431,,-110,-159,-426,,-41,-20,,,-280,-140,-121,,,5,,,,,
,585,5,793,,748,914,796,,650,744,,,789,791,818,,,,,,,,
,840,-18,3928,,3036,3744,4833,,2571,3003,,,3667,3546,3828,,,-4,,,,,
,-1685,10,1835,,1012,1337,2366,,646,791,,,1173,1210,1554,,,4,,,,,
,-77,5,367,,136,95,400,,95,37,,,151,61,172,,,-2,,,,,
,897,-13,-713,,-722,-751,-767,,-694,-735,,,-881,-839,-857,,,,,,,,
,336,12,-4043,,-3171,-3694,-4924,,-2743,-3060,,,-3641,-3509,-3867,,,-10,,,,,
,-1186,5,-1901,,-1128,-1442,-2407,,-682,-823,,,-1089,-1162,-1354,,,-8,,,,,
,302,-26,-261,,-103,-159,-365,,45,-37,,,-25,-89,-103,,,15,,,,,
,30,17,776,,762,709,803,,738,757,,,784,750,815,,,-12,,,,,
,2620,-8,4029,,3108,3673,4796,,2639,3038,,,3598,3472,3789,,,,,,,,
,-1920,,1910,,1058,1455,2347,,683,803,,,1183,1204,1345,,,-1,,,,,
,-432,12,433,,200,246,457,,92,84,,,166,183,90,,,5,,,,,
,4345,-12,-395,,-594,-752,-702,,-671,-779,,,-794,-755,-765,,,4,,,,,
,-3502,12,-4036,,-3046,-3853,-4840,,-2573,-3032,,,-3517,-3480,-3813,,,-8,,,,,
,609,2,-1951,,-1081,-1459,-2401,,-656,-801,,,-1205,-1207,-1501,,,8,,,,,
,961,-8,-321,,-145,-39,-341,,-93,-10,,,-230,-85,-142,,,13,,,,,
,-1166,9,774,,684,890,829,,639,794,,,762,818,851,,,-9,,,,,
,-1972,1,4146,,3114,3704,4851,,2601,3036,,,3551,3440,3796,,,,,,,,
,7,-38,1847,,1085,1296,2375,,669,814,,,1159,1122,1330,,,8,,,,,
,2475,10,317,,182,214,430,,83,40,,,170,92,113,,,-5,,,,,
,1729,1,-564,,-603,-585,-676,,-669,-729,,,-765,-722,-764,,,5,,,,,
,-2211,-4,-3946,,-3075,-3645,-4827,,-2659,-3023,,,-3527,-3438,-3838,,,7,,,,,
,-1675,26,-1961,,-1135,-1490,-2391,,-676,-807,,,-1196,-1183,-1440,,,-1,,,,,
,671,-30,-445,,-243,-322,-468,,-40,-75,,,-62,-91,-49,,,-13,,,,,
,-1183,1,572,,647,744,698,,630,761,,,717,764,821,,,-20,,,,,
,1008,-13,4017,,3072,3826,4881,,2501,3058,,,3425,3437,3761,,,5,,,,,
,-634,,1842,,1014,1462,2387,,659,800,,,1284,1231,1440,,,15,,,,,
,530,,359,,107,101,398,,65,52,,,178,147,205,,,-5,,,,,
,10141,-1,-649,,-699,-951,-924,,-572,-775,,,-641,-722,-658,,,-3,,,,,
,-3852,10,-3984,,-3059,-3745,-4800,,-2583,-3016,,,-3611,-3527,-3870,,,7,,,,,
,-3634,,-1915,,-1112,-1314,-2334,,-805,-798,,,-1377,-1217,-1460,,,-7,,,,,
,-2521,3,-210,,-91,43,-330,,-90,33,,,-160,-150,-252,,,3,,,,,
,-532,1,571,,597,814,758,,593,783,,,743,710,694,,,,,,,,
,-40,-13,3236,,2741,3363,4528,,2505,2977,,,3527,3471,3783,,,-8,,,,,
,-217,9,1965,,1230,1340,2299,,894,801,,,1352,1218,1372,,,13,,,,,
,134,3,1915,,782,713,883,,346,137,,,205,105,19,,,-5,,,,,
,233,,-386,,-596,-604,-747,,-623,-763,,,-696,-750,-891,,,-8,,,,,
,170,5,-3980,,-3095,-3699,-4849,,-2668,-3024,,,-3595,-3432,-3793,,,12,,,,,
,295,-5,-1728,,-1109,-1503,-2423,,-711,-791,,,-1241,-1174,-1355,,,3,,,,,
,151,1,-266,,-88,-206,-504,,45,-18,,,-56,-92,-145,,,-7,,,,,
,-763,-14,1241,,926,1098,1006,,743,791,,,775,753,712,,,7,,,,,
,470,13,4360,,3113,3815,4869,,2606,2973,,,3689,3507,3798,,,3,,,,,
,-135,-3,1913,,1023,1331,2395,,657,747,,,1282,1259,1495,,,-11,,,,,
,-381,-27,292,,129,87,472,,45,2,,,154,141,226,,,4,,,,,
,127,10,-458,,-587,-710,-703,,-621,-774,,,-811,-813,-819,,,11,,,,,
,18,-13,-4037,,-3066,-3646,-4814,,-2594,-3032,,,-3613,-3511,-3898,,,,,,,,
,848,-1,-2076,,-1166,-1407,-2418,,-742,-773,,,-1294,-1212,-1476,,,-9,,,,,
,-1101,8,-166,,-106,-109,-266,,-69,49,,,-140,-113,-62,,,5,,,,,
,2671,14,678,,678,699,865,,672,818,,,860,807,911,,,-8,,,,,
,-2315,-21,3880,,3005,3620,4717,,2590,3032,,,3595,3444,3761,,,-1,,,,,
,260,21,2027,,1090,1441,2285,,686,789,,,1281,1223,1355,,,4,,,,,
,1187,-21,472,,201,288,541,,34,-10,,,85,110,149,,,12,,,,,
,-1833,20,-720,,-738,-821,-741,,-731,-806,,,-793,-774,-754,,,-4,,,,,
,620,-29,-3913,,-3008,-3770,-4808,,-2591,-3016,,,-3603,-3523,-3728,,,-1,,,,,
,66,-1,-2007,,-1164,-1481,-2429,,-730,-763,,,-1306,-1157,-1384,,,-10,,,,,
,-791,-1,-377,,-211,-124,-446,,-78,11,,,-197,-96,-203,,,-3,,,,,
,1089,26,689,,702,868,819,,640,790,,,805,778,793,,,5,,,,,
,-1066,-25,4040,,3158,3776,4918,,2666,3029,,,3663,3498,3862,,,-1,,,,,
,1104,1,1976,,1179,1370,2489,,834,743,,,1375,1175,1429,,,-3,,,,,
,-738,13,337,,126,138,432,,82,30,,,159,149,128,,,1,,,,,
,-294,-13,-756,,-780,-798,-895,,-689,-758,,,-805,-790,-953,,,-1,,,,,
,-1,9,-3835,,-2955,-3509,-4742,,-2582,-2925,,,-3780,-3572,-3946,,,,,,,,
,688,,-1759,,-989,-1350,-2286,,-649,-769,,,-1290,-1200,-1405,,,2,,,,,
,-5,7,-501,,-208,-340,-487,,-17,-55,,,63,-51,-20,,,-5,,,,,
,-589,-16,591,,654,743,719,,667,709,,,859,763,745,,,-3,,,,,
,1052,13,4071,,3010,3805,4848,,2549,2977,,,3630,3465,3698,,,18,,,,,
,1438,-14,1837,,994,1440,2331,,606,740,,,1302,1195,1374,,,-5,,,,,
,-2428,-6,194,,96,80,338,,-20,11,,,111,161,279,,,3,,,,,
,2362,6,-620,,-677,-957,-900,,-598,-777,,,-678,-695,-632,,,3,,,,,
,1386,1,-4009,,-2997,-3768,-4911,,-2473,-3025,,,-3463,-3471,-3822,,,-4,,,,,
,-2590,-20,-1847,,-952,-1270,-2348,,-619,-704,,,-1394,-1235,-1507,,,-17,,,,,
,-1524,-23,-322,,-172,-60,-419,,-134,10,,,-273,-139,-169,,,,,,,,
,407,43,646,,672,759,780,,612,766,,,837,765,763,,,3,,,,,
,334,-12,3887,,3039,3566,4823,,2617,3006,,,3707,3526,3847,,,-4,,,,,
,400,-8,1978,,1004,1350,2427,,623,778,,,1208,1189,1389,,,8,,,,,
,-1254,5,557,,182,369,626,,25,111,,,-7,30,-20,,,10,,,,,
,492,-5,-606,,-675,-699,-703,,-650,-745,,,-765,-818,-885,,,,,,,,
,-194,1,-4062,,-3078,-3748,-4771,,-2576,-3020,,,-3546,-3507,-3819,,,-2,,,,,
,377,-1,-1790,,-988,-1454,-2284,,-629,-756,,,-1388,-1258,-1366,,,-5,,,,,
,-205,19,-367,,-72,-227,-451,,7,-19,,,-98,-88,-100,,,-5,,,,,
,-108,-18,588,,761,843,785,,740,777,,,857,815,717,,,-7,,,,,
,496,-36,4333,,3199,3906,4978,,2687,3117,,,3538,3435,3653,,,9,,,,,
,-455,-1,2259,,1175,1475,2561,,698,783,,,1325,1261,1500,,,16,,,,,
,238,37,628,,270,175,589,,108,-14,,,196,142,292,,,-1,,,,,
,-444,2,-751,,-735,-836,-838,,-705,-815,,,-791,-741,-722,,,-17,,,,,
,-253,-35,-3827,,-3025,-3642,-4812,,-2635,-3044,,,-3554,-3462,-3881,,,2,,,,,
,321,-2,-1800,,-1070,-1240,-2231,,-762,-794,,,-1378,-1209,-1397,,,-2,,,,,
,2460,39,-226,,-100,-83,-299,,-31,10,,,-177,-92,-73,,,5,,,,,
,-2196,-28,830,,750,705,769,,720,743,,,836,793,865,,,7,,,,,
,1515,-10,3834,,3019,3594,4668,,2628,3004,,,3715,3494,3757,,,1,,,,,
,-1967,40,1660,,913,1300,2182,,629,764,,,1273,1183,1333,,,-17,,,,,
,559,-42,461,,123,195,370,,2,2,,,191,104,67,,,7,,,,,
,-206,-8,-585,,-634,-724,-680,,-699,-751,,,-921,-788,-781,,,,,,,,
,995,18,-4159,,-3104,-3785,-4765,,-2649,-2990,,,-3659,-3481,-3725,,,-1,,,,,
,-849,-9,-2738,,-1492,-1802,-2845,,-821,-827,,,-1075,-1095,-1407,,,-7,,,,,
,18,54,-782,,-356,-306,-577,,-134,-89,,,-41,-73,-179,,,7,,,,,
,-79,-55,1978,,1115,1333,1476,,780,836,,,715,734,793,,,11,,,,,
,655,2,4934,,3346,3939,5146,,2676,3043,,,3600,3442,3738,,,2,,,,,
,-623,-19,1607,,900,1108,2178,,698,763,,,1384,1183,1400,,,-12,,,,,
,9,,365,,101,96,413,,8,54,,,25,116,167,,,-7,,,,,
,1423,19,-391,,-552,-607,-616,,-669,-764,,,-955,-827,-877,,,14,,,,,
,-1863,53,-3667,,-2893,-3446,-4635,,-2594,-2993,,,-3661,-3503,-3852,,,,,,,,
,766,-75,-1714,,-984,-1331,-2210,,-703,-758,,,-1379,-1244,-1375,,,-2,,,,,
,111,2,-656,,-185,-366,-518,,-34,-24,,,-170,-124,-91,,,-4,,,,,
,393,,541,,687,748,753,,717,735,,,852,803,797,,,3,,,,,
,-428,3,4165,,3090,3832,4949,,2632,3014,,,3630,3527,3875,,,5,,,,,
,1557,-4,2001,,1073,1454,2449,,724,796,,,1305,1258,1399,,,-9,,,,,
,-1273,2,356,,104,95,413,,24,49,,,127,114,67,,,12,,,,,
,-38,-1,-640,,-651,-890,-799,,-592,-730,,,-740,-804,-852,,,3,,,,,
,-622,-11,-4232,,-3143,-3851,-4933,,-2573,-3047,,,-3505,-3479,-3878,,,-5,,,,,
,-438,-1,-2152,,-1263,-1486,-2489,,-768,-821,,,-1260,-1204,-1458,,,-15,,,,,
,258,10,-296,,-132,-87,-377,,-80,28,,,-267,-138,-187,,,3,,,,,
,1522,3,782,,827,900,895,,757,845,,,860,770,797,,,-3,,,,,
,1229,-12,4059,,3160,3648,4870,,2704,3016,,,3742,3500,3872,,,2,,,,,
,-2215,-1,1960,,1098,1380,2433,,665,766,,,1135,1208,1461,,,12,,,,,
,-703,11,358,,129,245,519,,-5,10,,,11,118,175,,,,,,,,
,367,-10,-663,,-716,-713,-774,,-712,-797,,,-764,-735,-766,,,-14,,,,,
,-289,5,-3862,,-2969,-3669,-4736,,-2585,-2967,,,-3520,-3461,-3880,,,8,,,,,
,267,7,-1903,,-1093,-1521,-2403,,-673,-802,,,-1189,-1219,-1439,,,10,,,,,
,-387,-13,-331,,-95,-212,-489,,8,-28,,,-101,-128,-122,,,-19,,,,,
,477,11,758,,799,894,761,,740,782,,,903,820,789,,,-6,,,,,
,-209,-1,4101,,3089,3797,4899,,2663,3010,,,3748,3555,3862,,,12,,,,,
,1335,-9,1993,,1044,1366,2450,,691,788,,,1216,1241,1528,,,7,,,,,
,-1992,3,283,,30,55,389,,-71,36,,,-51,46,186,,,,,,,,
,3125,-4,-809,,-810,-881,-861,,-808,-746,,,-917,-828,-752,,,-3,,,,,
,-2594,1,-3978,,-3051,-3619,-4792,,-2625,-2961,,,-3592,-3504,-3875,,,-7,,,,,
,-265,10,-1962,,-1144,-1412,-2360,,-710,-815,,,-1260,-1198,-1443,,,7,,,,,
,100,-2,-481,,-198,-240,-378,,-55,-40,,,-137,-102,-113,,,-5,,,,,
,-11,-28,734,,803,734,853,,712,784,,,818,783,850,,,-2,,,,,
,130,-1,4068,,3147,3733,4849,,2677,3040,,,3682,3505,3820,,,2,,,,,
,-197,-2,1995,,1090,1435,2382,,773,760,,,1333,1197,1349,,,-5,,,,,
,243,24,419,,175,282,462,,65,27,,,81,51,36,,,,,,,,
,319,,-650,,-695,-751,-756,,-731,-717,,,-835,-837,-835,,,7,,,,,
,1003,-1,-3758,,-2917,-3713,-4701,,-2511,-2974,,,-3523,-3474,-3791,,,3,,,,,
,-1320,-18,-1851,,-1025,-1392,-2247,,-700,-787,,,-1269,-1187,-1310,,,-4,,,,,
,280,17,-262,,-111,-89,-348,,-41,-37,,,-174,-167,-164,,,4,,,,,
,264,-19,837,,745,906,871,,670,807,,,808,756,693,,,-2,,,,,
,-169,-12,4001,,3104,3725,4904,,2627,3083,,,3542,3445,3819,,,-7,,,,,
,237,11,1911,,1102,1313,2418,,800,820,,,1239,1188,1480,,,10,,,,,
,-55,,236,,126,94,393,,52,42,,,79,90,103,,,3,,,,,
,-319,1,-716,,-709,-765,-803,,-746,-782,,,-848,-768,-891,,,-1,,,,,
,1259,-13,-3886,,-3041,-3588,-4815,,-2653,-3079,,,-3527,-3392,-3865,,,-2,,,,,
,-1686,25,-1900,,-1124,-1449,-2372,,-720,-819,,,-1253,-1131,-1340,,,-8,,,,,
,479,-12,-522,,-242,-301,-463,,-82,-17,,,-63,-72,-45,,,4,,,,,
,-379,1,556,,577,743,720,,574,764,,,780,798,812,,,3,,,,,
,1801,-13,3912,,2958,3657,4672,,2557,3000,,,3669,3512,3726,,,,,,,,
,-1519,1,2042,,1089,1465,2389,,688,771,,,1185,1161,1288,,,10,,,,,
,140,16,567,,266,283,593,,100,35,,,84,60,132,,,,,,,,
,-454,-5,-704,,-588,-780,-711,,-582,-747,,,-688,-740,-693,,,-15,,,,,
,186,-10,-4008,,-3001,-3719,-4853,,-2533,-3009,,,-3472,-3461,-3813,,,5,,,,,
,303,-2,-1838,,-1127,-1383,-2369,,-717,-760,,,-1288,-1225,-1438,,,-8,,,,,
,-129,13,-377,,-157,5,-267,,-79,-8,,,-210,-105,-96,,,-10,,,,,
,673,-12,753,,774,949,1022,,692,828,,,786,798,865,,,15,,,,,
,-301,12,4019,,3041,3673,4940,,2544,3047,,,3526,3450,3892,,,2,,,,,
,-380,-1,1940,,1024,1399,2437,,656,785,,,1133,1145,1483,,,9,,,,,
,458,-11,357,,144,202,493,,84,6,,,210,111,123,,,-2,,,,,
,-901,-22,-453,,-586,-599,-575,,-591,-759,,,-659,-716,-783,,,-3,,,,,
,1822,2,-3783,,-2940,-3614,-4678,,-2553,-3047,,,-3518,-3417,-3740,,,-2,,,,,
,-301,18,-1894,,-1039,-1490,-2330,,-672,-768,,,-1307,-1192,-1340,,,-2,,,,,
,-1034,-19,-594,,-296,-367,-639,,-120,-74,,,-86,-78,-156,,,-13,,,,,
,-420,-2,737,,686,792,687,,633,763,,,751,762,736,,,6,,,,,
,154,22,4089,,3073,3794,4856,,2572,3040,,,3480,3426,3708,,,10,,,,,
,293,2,1851,,1064,1379,2386,,752,805,,,1296,1143,1311,,,4,,,,,
,-335,-2,-82,,13,37,409,,68,88,,,174,120,164,,,6,,,,,
,1902,-18,-1346,,-905,-1001,-1095,,-760,-798,,,-876,-768,-780,,,-6,,,,,
,-1783,31,-3067,,-2584,-3364,-4614,,-2338,-3014,,,-3515,-3486,-3890,,,-6,,,,,
,658,-32,-1219,,-797,-1168,-2256,,-519,-795,,,-1151,-1155,-1514,,,-22,,,,,
,-647,15,-446,,-132,-316,-627,,4,-41,,,-20,-78,-168,,,13,,,,,
,5206,-16,1007,,865,794,845,,808,786,,,941,811,819,,,8,,,,,
,-3738,-10,3599,,2908,3502,4634,,2585,3044,,,3648,3490,3802,,,-8,,,,,
,-1075,-1,1890,,1032,1302,2308,,659,775,,,1197,1193,1434,,,1,,,,,
,929,-1,429,,145,170,415,,52,-9,,,151,162,128,,,6,,,,,
,-1308,2,-358,,-570,-651,-562,,-679,-790,,,-853,-809,-754,,,2,,,,,
,-10,13,-3821,,-3028,-3701,-4715,,-2626,-3032,,,-3560,-3432,-3698,,,-10,,,,,
,2263,,-2187,,-1229,-1590,-2526,,-754,-783,,,-1234,-1165,-1384,,,3,,,,,
,-1531,26,-408,,-215,-207,-459,,-118,-72,,,-240,-145,-201,,,-5,,,,,
,-1175,-28,583,,635,864,832,,588,747,,,774,788,757,,,7,,,,,
,324,-10,3953,,3035,3704,4883,,2540,3022,,,3534,3407,3776,,,9,,,,,
,78,10,2037,,1094,1352,2533,,697,833,,,1206,1151,1453,,,-1,,,,,
,1771,-10,261,,135,110,427,,85,70,,,188,131,149,,,-3,,,,,
,-2225,13,-765,,-697,-730,-783,,-705,-798,,,-778,-764,-707,,,-8,,,,,
,-24,-3,-3768,,-2947,-3466,-4680,,-2620,-3015,,,-3603,-3435,-3788,,,15,,,,,
,-4,1,-1827,,-1045,-1392,-2351,,-660,-750,,,-1180,-1127,-1367,,,-2,,,,,
,157,-12,-550,,-255,-378,-569,,-6,-29,,,-32,-60,-83,,,-9,,,,,
,2103,1,443,,584,626,645,,669,716,,,789,706,741,,,5,,,,,
,-1797,13,4032,,3037,3729,4836,,2620,3020,,,3563,3448,3691,,,-5,,,,,
,2318,-27,1893,,983,1380,2352,,662,740,,,1328,1245,1343,,,-3,,,,,
,2,13,398,,194,168,464,,58,27,,,126,82,144,,,-1,,,,,
,-2120,,-618,,-619,-835,-769,,-706,-731,,,-876,-802,-765,,,1,,,,,
,66,,-4081,,-3028,-3744,-4788,,-2641,-2953,,,-3658,-3500,-3851,,,7,,,,,
,-722,-2,-2079,,-1151,-1407,-2360,,-731,-773,,,-1321,-1224,-1439,,,12,,,,,
,517,2,-245,,-117,-46,-413,,-62,-28,,,-208,-102,-177,,,-14,,,,,
,-393,-11,805,,747,825,814,,676,764,,,815,767,721,,,-9,,,,,
,-174,-8,3867,,3028,3580,4746,,2699,2997,,,3749,3460,3808,,,12,,,,,
,331,19,1940,,1097,1331,2325,,757,767,,,1335,1198,1424,,,-3,,,,,
,1987,-31,472,,190,255,444,,35,38,,,53,37,100,,,5,,,,,
,-1877,,-550,,-580,-609,-650,,-624,-705,,,-838,-795,-819,,,-7,,,,,
,11057,11,-3902,,-2981,-3676,-4752,,-2504,-3023,,,-3462,-3414,-3736,,,11,,,,,
,-3719,-2,-1974,,-1110,-1492,-2267,,-688,-807,,,-1247,-1149,-1206,,,-8,,,,,
,-3878,3,-321,,-146,-207,-332,,-68,-8,,,-216,-147,-36,,,2,,,,,
,-3728,-1,801,,721,837,791,,642,755,,,853,789,690,,,-1,,,,,
,-132,-11,4057,,3015,3783,4817,,2509,3016,,,3565,3460,3673,,,5,,,,,
,733,1,1773,,912,1280,2304,,609,742,,,1263,1243,1396,,,-3,,,,,
,-652,10,197,,11,32,334,,-50,-44,,,114,149,155,,,-6,,,,,
,201,-11,-712,,-655,-834,-857,,-627,-807,,,-724,-812,-844,,,4,,,,,
,-44,12,-3981,,-2954,-3626,-4879,,-2532,-3011,,,-3495,-3482,-3928,,,3,,,,,
,-336,-12,-1983,,-1133,-1300,-2312,,-808,-766,,,-1451,-1231,-1461,,,-5,,,,,
,3652,,-179,,-81,-95,-256,,-51,46,,,-281,-157,-91,,,,,,,,
,-3391,1,710,,771,810,891,,750,845,,,901,765,806,,,-2,,,,,
,299,,3812,,3007,3637,4787,,2588,3047,,,3684,3500,3825,,,4,,,,,
,-71,-1,2071,,1105,1468,2464,,730,788,,,1206,1195,1482,,,-1,,,,,
,-239,12,471,,223,358,511,,47,29,,,-21,104,165,,,-1,,,,,
,1396,-12,-682,,-669,-692,-719,,-675,-780,,,-731,-731,-745,,,-2,,,,,
,-434,-4,-3823,,-2936,-3660,-4743,,-2488,-3036,,,-3455,-3448,-3768,,,-1,,,,,
,-856,-16,-1860,,-1032,-1400,-2358,,-622,-788,,,-1248,-1192,-1422,,,2,,,,,
,139,21,-412,,-158,-115,-378,,-58,-16,,,-191,-124,-174,,,4,,,,,
,42,-22,571,,630,906,845,,594,754,,,742,792,736,,,,,,,,
,8,27,3925,,3009,3695,4824,,2597,3030,,,3669,3521,3857,,,-1,,,,,
,478,-3,1925,,1111,1287,2395,,733,767,,,1268,1214,1501,,,1,,,,,
,-399,-22,459,,239,104,409,,153,22,,,178,36,71,,,5,,,,,
,-9,-1,-524,,-593,-691,-785,,-613,-767,,,-787,-826,-863,,,-1,,,,,
,-378,-11,-3845,,-2963,-3477,-4689,,-2614,-3035,,,-3628,-3477,-3860,,,-1,,,,,
,225,11,-1725,,-941,-1304,-2258,,-591,-770,,,-1193,-1231,-1451,,,-4,,,,,
,252,-7,-158,,3,-185,-338,,85,32,,,-140,-163,-123,,,-5,,,,,
,-587,-5,488,,589,654,731,,584,757,,,717,770,821,,,1,,,,,
,881,12,3863,,2957,3665,4797,,2475,3047,,,3482,3453,3769,,,4,,,,,
,-303,2,1998,,988,1423,2343,,629,760,,,1307,1237,1396,,,-4,,,,,
,-154,-12,406,,101,208,553,,43,-24,,,269,188,227,,,-5,,,,,
,-502,11,-459,,-511,-706,-591,,-590,-726,,,-860,-800,-667,,,,,,,,
,869,,-3846,,-2888,-3669,-4765,,-2503,-3016,,,-3587,-3488,-3731,,,,,,,,
,-577,-11,-1962,,-1064,-1382,-2423,,-641,-763,,,-1180,-1193,-1417,,,16,,,,,
,-47,11,-457,,-175,-158,-484,,-28,-6,,,-41,-84,-176,,,-16,,,,,
,4417,-11,644,,695,775,765,,717,757,,,920,841,768,,,9,,,,,
,-620,-1,3943,,3053,3569,4822,,2613,2985,,,3646,3505,3835,,,-2,,,,,
,-3617,14,1924,,1034,1274,2367,,681,771,,,1277,1219,1488,,,-4,,,,,
,-225,,177,,15,91,301,,-26,-14,,,84,106,170,,,-12,,,,,
,414,-1,-713,,-733,-703,-799,,-773,-770,,,-919,-808,-808,,,15,,,,,
,609,-14,-3956,,-3076,-3652,-4692,,-2672,-3060,,,-3653,-3440,-3715,,,2,,,,,
,1491,2,-1902,,-1025,-1393,-2190,,-613,-788,,,-1171,-1188,-1338,,,5,,,,,
,-2774,-15,-498,,-188,-249,-422,,-34,7,,,-131,-68,-51,,,-4,,,,,
,686,15,758,,739,855,830,,700,820,,,718,796,775,,,,,,,,
,-723,-21,3970,,3063,3790,4798,,2617,2987,,,3552,3468,3685,,,-10,,,,,
,551,10,1943,,1053,1320,2327,,687,723,,,1292,1171,1394,,,10,,,,,
,-387,-12,266,,69,-12,379,,18,-15,,,220,146,151,,,-10,,,,,
,6,24,-832,,-764,-938,-899,,-707,-824,,,-774,-731,-800,,,,,,,,
,1745,,-4058,,-3096,-3706,-4875,,-2682,-3008,,,-3760,-3534,-3882,,,,,,,,
