Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Fz (uV),P4 (uV),O1 (uV),O2 (uV),Ref (uV),AccX (mg),AccY (mg),AccZ (mg),Event A,Event B
,-235,-26,-414,-2097,-3836,-6879,,,,,,,,,,,,,,,,,
,138,5,-20,174,808,-3550,,,,,,,,,,,,8,,,,,
,-19,18,409,1154,2315,1032,,,,,,,,,,,,-2,,,,,
,-23,-18,1793,5193,8210,18838,,,,,,,,,,,,7,,,,,
,-128,,484,1497,1882,7425,,,,,,,,,,,,5,,,,,
,268,-1,48,98,-40,505,,,,,,,,,,,,-7,,,,,
,2210,-12,-478,-1301,-1641,-7810,,,,,,,,,,,,-4,,,,,
,-1564,,-1843,-5323,-8238,-17854,,,,,,,,,,,,7,,,,,
,-550,,-464,-1420,-2505,-1096,,,,,,,,,,,,-6,,,,,
,1012,-2,50,58,-284,2925,,,,,,,,,,,,-9,,,,,
,-1304,,483,1324,2028,3875,,,,,,,,,,,,9,,,,,
,-118,2,1776,5182,8815,10957,,,,,,,,,,,,2,,,,,
,369,-31,406,1355,2433,2279,,,,,,,,,,,,15,,,,,
,148,-1,-12,-32,-271,3438,,,,,,,,,,,,-2,,,,,
,-266,13,-421,-1164,-2312,-481,,,,,,,,,,,,-7,,,,,
,-84,4,-1768,-5170,-8490,-15248,,,,,,,,,,,,3,,,,,
,18,-16,-452,-1433,-1863,-8979,,,,,,,,,,,,-11,,,,,
,-79,13,-55,-91,199,-2125,,,,,,,,,,,,-7,,,,,
,14,-27,445,1224,1856,7067,,,,,,,,,,,,2,,,,,
,-22,-8,1853,5286,8130,18224,,,,,,,,,,,,4,,,,,
,2,,471,1499,2142,4633,,,,,,,,,,,,,,,,,
,16,22,-15,-54,386,-4517,,,,,,,,,,,,3,,,,,
,237,-13,-510,-1334,-1836,-5416,,,,,,,,,,,,-9,,,,,
,-5,-9,-1795,-5267,-8726,-11967,,,,,,,,,,,,24,,,,,
,2996,,-412,-1492,-2896,-2578,,,,,,,,,,,,-9,,,,,
,-2451,-8,31,747,1276,2906,,,,,,,,,,,,-8,,,,,
,-706,11,443,396,983,-4090,,,,,,,,,,,,,,,,,
,-186,-3,1751,5575,9402,15111,,,,,,,,,,,,-1,,,,,
,237,-8,442,1233,1642,7426,,,,,,,,,,,,13,,,,,
,-161,3,30,124,-167,3072,,,,,,,,,,,,-1,,,,,
,228,-3,-429,-1172,-2076,-3384,,,,,,,,,,,,-4,,,,,
,-208,-19,-1809,-5271,-8045,-20115,,,,,,,,,,,,,,,,,
,660,-13,-476,-1483,-2081,-6313,,,,,,,,,,,,-11,,,,,
,-621,3,-13,-56,-273,3534,,,,,,,,,,,,-3,,,,,
,-105,8,486,1318,1817,6360,,,,,,,,,,,,7,,,,,
,-5,-8,1830,5325,8434,15441,,,,,,,,,,,,,,,,,
,-15,-1,424,1372,2583,-227,,,,,,,,,,,,-2,,,,,
,2169,1,-64,-103,122,-1678,,,,,,,,,,,,2,,,,,
,-1632,-8,-448,-1244,-2264,237,,,,,,,,,,,,7,,,,,
,-325,-17,-1749,-5169,-8697,-12720,,,,,,,,,,,,-11,,,,,
,-270,,-406,-1311,-2252,-4649,,,,,,,,,,,,3,,,,,
,-29,-10,-29,-74,374,-4658,,,,,,,,,,,,-1,,,,,
,209,2,404,1143,2167,1914,,,,,,,,,,,,5,,,,,
,222,,1793,5216,8203,19153,,,,,,,,,,,,4,,,,,
,1406,8,474,1512,1972,7187,,,,,,,,,,,,-11,,,,,
,-1850,-21,20,37,-40,-327,,,,,,,,,,,,10,,,,,
,499,13,-466,-1245,-1506,-7930,,,,,,,,,,,,-1,,,,,
,-249,-22,-1826,-5341,-8366,-16902,,,,,,,,,,,,5,,,,,
,275,26,-437,-1440,-2623,-1034,,,,,,,,,,,,,,,,,
,-498,-23,37,-183,-714,1694,,,,,,,,,,,,-1,,,,,
,1738,-3,490,2071,3520,5934,,,,,,,,,,,,,,,,,
,-1512,13,1765,4491,7547,8436,,,,,,,,,,,,-11,,,,,
,-163,-5,389,1545,2695,3752,,,,,,,,,,,,-3,,,,,
,-56,-4,14,-35,-258,3770,,,,,,,,,,,,-1,,,,,
,-33,-13,-432,-1180,-2339,-888,,,,,,,,,,,,13,,,,,
,96,-19,-1778,-5121,-8360,-15685,,,,,,,,,,,,1,,,,,
,-13,-3,-455,-1458,-1886,-9337,,,,,,,,,,,,-6,,,,,
,88,8,-25,-80,95,-1204,,,,,,,,,,,,1,,,,,
,-239,-4,438,1218,1889,7280,,,,,,,,,,,,-8,,,,,
,173,-14,1828,5305,8114,18001,,,,,,,,,,,,-6,,,,,
,-158,2,491,1498,2264,4108,,,,,,,,,,,,14,,,,,
,187,11,-31,-77,393,-4822,,,,,,,,,,,,13,,,,,
,-9,-3,-489,-1323,-1951,-4595,,,,,,,,,,,,-6,,,,,
,1,-10,-1796,-5254,-8714,-11639,,,,,,,,,,,,-5,,,,,
,-147,10,-421,-1314,-2532,-1951,,,,,,,,,,,,5,,,,,
,541,-30,23,92,60,-485,,,,,,,,,,,,-5,,,,,
,625,3,438,1168,2489,-1316,,,,,,,,,,,,-5,,,,,
,-1260,-9,1765,5131,8509,14457,,,,,,,,,,,,2,,,,,
,2988,-3,428,1397,1914,8229,,,,,,,,,,,,2,,,,,
,-2393,9,47,125,-195,2633,,,,,,,,,,,,1,,,,,
,-288,4,-430,-1200,-2007,-4123,,,,,,,,,,,,1,,,,,
,2392,3,-1811,-5316,-8015,-20224,,,,,,,,,,,,-1,,,,,
,-2008,-1,-478,-1513,-2275,-5564,,,,,,,,,,,,-1,,,,,
,-381,-35,-1,93,-152,3917,,,,,,,,,,,,-1,,,,,
,381,-24,485,1335,1889,6316,,,,,,,,,,,,2,,,,,
,4012,44,1823,4993,7896,13300,,,,,,,,,,,,3,,,,,
,-3870,12,405,2044,3982,2580,,,,,,,,,,,,8,,,,,
,-786,-67,-35,-830,-1380,-3626,,,,,,,,,,,,-6,,,,,
,345,36,-446,-836,-1520,1920,,,,,,,,,,,,-1,,,,,
,-117,-24,-1757,-5328,-9033,-13597,,,,,,,,,,,,-8,,,,,
,-225,-10,-426,-1266,-2072,-5107,,,,,,,,,,,,-3,,,,,
,68,1,-26,-87,383,-4846,,,,,,,,,,,,5,,,,,
,-56,-22,415,1162,2150,2898,,,,,,,,,,,,,,,,,
,1836,-2,1813,5228,8165,19248,,,,,,,,,,,,-13,,,,,
,-1826,32,497,1524,1949,6934,,,,,,,,,,,,1,,,,,
,107,-42,3,40,68,-892,,,,,,,,,,,,7,,,,,
,588,1,-481,-1320,-1622,-8317,,,,,,,,,,,,11,,,,,
,-747,12,-1845,-5310,-8372,-15889,,,,,,,,,,,,9,,,,,
,72,-11,-436,-1411,-2541,-726,,,,,,,,,,,,-13,,,,,
,-122,8,34,106,-300,2427,,,,,,,,,,,,2,,,,,
,-7,4,488,1297,2179,2521,,,,,,,,,,,,-10,,,,,
,138,-30,1758,5181,8871,10595,,,,,,,,,,,,9,,,,,
,145,16,399,1296,2225,4087,,,,,,,,,,,,3,,,,,
,-313,2,15,-22,-272,3843,,,,,,,,,,,,-2,,,,,
,606,-20,-415,-1121,-2250,-1011,,,,,,,,,,,,-16,,,,,
,-651,2,-1770,-5173,-8349,-16552,,,,,,,,,,,,13,,,,,
,1230,-12,-465,-1482,-1900,-9434,,,,,,,,,,,,-7,,,,,
,-910,-8,-41,-65,41,-205,,,,,,,,,,,,-12,,,,,
,1929,19,457,1230,1809,7394,,,,,,,,,,,,13,,,,,
,-768,4,1840,5266,8075,17539,,,,,,,,,,,,10,,,,,
,-1250,-9,462,1373,2136,2880,,,,,,,,,,,,2,,,,,
,2897,-25,-33,378,1253,-3372,,,,,,,,,,,,-4,,,,,
,-2666,6,-513,-1626,-2571,-4233,,,,,,,,,,,,-9,,,,,
,-503,-8,-1776,-5341,-8919,-12272,,,,,,,,,,,,-3,,,,,
,361,-13,-388,-1112,-2174,-1442,,,,,,,,,,,,7,,,,,
,-194,14,31,-39,-89,-1681,,,,,,,,,,,,4,,,,,
,124,-11,420,1172,2534,-1215,,,,,,,,,,,,3,,,,,
,-160,-2,1754,5163,8489,15535,,,,,,,,,,,,2,,,,,
,312,13,448,1421,1917,8250,,,,,,,,,,,,-5,,,,,
,-205,-31,32,82,-293,2242,,,,,,,,,,,,1,,,,,
,-150,-3,-444,-1185,-1875,-4769,,,,,,,,,,,,-3,,,,,
,136,2,-1816,-5314,-8040,-20253,,,,,,,,,,,,1,,,,,
,316,-10,-466,-1468,-2252,-4325,,,,,,,,,,,,13,,,,,
,-135,-1,12,8,-263,3787,,,,,,,,,,,,-9,,,,,
,34,11,497,1344,1825,5693,,,,,,,,,,,,-1,,,,,
,-207,-11,1801,5271,8572,13989,,,,,,,,,,,,-7,,,,,
,90,11,396,1326,2590,-308,,,,,,,,,,,,-7,,,,,
,100,1,-30,-74,,290,,,,,,,,,,,,2,,,,,
,-303,-2,-431,-1241,-2311,338,,,,,,,,,,,,-3,,,,,
,-7,-9,-1769,-5135,-8671,-13221,,,,,,,,,,,,7,,,,,
,-24,-19,-421,-1332,-2132,-6062,,,,,,,,,,,,1,,,,,
,-4,19,-35,-92,397,-4823,,,,,,,,,,,,-5,,,,,
,-16,,428,1163,2066,3890,,,,,,,,,,,,2,,,,,
,81,-30,1810,5224,8164,19222,,,,,,,,,,,,1,,,,,
,-18,,484,1507,1941,6584,,,,,,,,,,,,-1,,,,,
,237,16,15,23,120,-1606,,,,,,,,,,,,-13,,,,,
,-28,-6,-495,-1561,-2081,-9267,,,,,,,,,,,,12,,,,,
,1582,-10,-1837,-4506,-6936,-11923,,,,,,,,,,,,12,,,,,
,-1742,-11,-423,-2227,-4116,-3767,,,,,,,,,,,,-5,,,,,
,-78,11,40,444,355,3285,,,,,,,,,,,,-3,,,,,
,-90,-21,466,1243,2216,1865,,,,,,,,,,,,-4,,,,,
,2544,1,1757,5096,8737,10452,,,,,,,,,,,,11,,,,,
,-1746,12,422,1398,2259,5158,,,,,,,,,,,,-11,,,,,
,-802,-11,,10,-302,3765,,,,,,,,,,,,-4,,,,,
,-51,-2,-420,-1137,-2273,-1288,,,,,,,,,,,,10,,,,,
,206,-20,-1766,-5220,-8275,-17208,,,,,,,,,,,,-10,,,,,
,423,10,-482,-1495,-1874,-9280,,,,,,,,,,,,12,,,,,
,-658,,-33,-40,-26,670,,,,,,,,,,,,7,,,,,
,587,1,470,1235,1815,7241,,,,,,,,,,,,-4,,,,,
,-251,-1,1830,5333,8214,17521,,,,,,,,,,,,-9,,,,,
,25638,-20,440,1444,2348,2633,,,,,,,,,,,,2,,,,,
,-3810,-12,-20,-103,315,-4809,,,,,,,,,,,,11,,,,,
,-3911,20,-495,-1407,-2246,-3143,,,,,,,,,,,,-6,,,,,
,-3914,-19,-1762,-4901,-8086,-10518,,,,,,,,,,,,-3,,,,,
,-3875,,-406,-1406,-2740,-2890,,,,,,,,,,,,,,,,,
,-3931,9,24,-275,-382,-2993,,,,,,,,,,,,-1,,,,,
,-3912,11,402,1481,3092,36,,,,,,,,,,,,5,,,,,
,-2333,-36,1747,5004,8081,15720,,,,,,,,,,,,1,,,,,
,18,-3,474,1598,2242,8796,,,,,,,,,,,,2,,,,,
,-171,-12,37,-37,-483,1558,,,,,,,,,,,,-17,,,,,
,-161,-2,-444,-1231,-1882,-5540,,,,,,,,,,,,-4,,,,,
,364,14,-1838,-5345,-8077,-20026,,,,,,,,,,,,-5,,,,,
,3800,4,-461,-1564,-2522,-4250,,,,,,,,,,,,19,,,,,
,-3862,-1,12,642,897,6264,,,,,,,,,,,,1,,,,,
,-298,-15,495,580,417,2585,,,,,,,,,,,,-6,,,,,
,-63,-20,1814,5659,9398,14870,,,,,,,,,,,,16,,,,,
,180,21,407,1180,2255,-732,,,,,,,,,,,,2,,,,,
,14,-1,-41,-1,49,1317,,,,,,,,,,,,-3,,,,,
,-88,-31,-430,-1249,-2327,262,,,,,,,,,,,,-6,,,,,
,17,-1,-1747,-5102,-8603,-13488,,,,,,,,,,,,7,,,,,
,1381,2,-435,-1396,-2115,-6828,,,,,,,,,,,,-7,,,,,
,-1320,11,-41,-65,400,-4421,,,,,,,,,,,,-7,,,,,
,-97,-11,428,1172,2002,4692,,,,,,,,,,,,2,,,,,
,57,11,1814,5218,8155,19060,,,,,,,,,,,,-2,,,,,
,-119,-12,488,1546,2024,6343,,,,,,,,,,,,7,,,,,
,212,-22,2,9,160,-2325,,,,,,,,,,,,-1,,,,,
,675,16,-502,-1332,-1679,-7938,,,,,,,,,,,,2,,,,,
,-522,-23,-1819,-5401,-8735,-14614,,,,,,,,,,,,1,,,,,
,91,-4,-423,-977,-1785,630,,,,,,,,,,,,2,,,,,
,-271,14,31,-314,-953,400,,,,,,,,,,,,-1,,,,,
,45,-12,464,1333,2479,1460,,,,,,,,,,,,-5,,,,,
,-257,1,1760,5169,8852,11082,,,,,,,,,,,,-6,,,,,
,3124,11,410,1365,2104,5875,,,,,,,,,,,,-3,,,,,
,-1223,-31,27,10,-288,3644,,,,,,,,,,,,-2,,,,,
,-1671,23,-415,-1170,-2321,-1766,,,,,,,,,,,,3,,,,,
,8242,-1,-1789,-5162,-8117,-17819,,,,,,,,,,,,9,,,,,
,-3891,-13,-480,-1511,-1948,-9068,,,,,,,,,,,,,,,,,
,-3877,-12,-34,-49,-81,1511,,,,,,,,,,,,-10,,,,,
,1238,5,470,1335,1951,7172,,,,,,,,,,,,-6,,,,,
,-1859,-21,1836,5520,8633,18311,,,,,,,,,,,,11,,,,,
,-71,8,457,959,1478,39,,,,,,,,,,,,-4,,,,,
,108,-1,-33,122,785,-3491,,,,,,,,,,,,6,,,,,
,-38,8,-493,-1278,-2131,-1820,,,,,,,,,,,,-1,,,,,
,-93,-2,-1774,-5202,-8699,-11795,,,,,,,,,,,,2,,,,,
,99,-16,-395,-1304,-2466,-2886,,,,,,,,,,,,3,,,,,
,254,-9,5,6,215,-2654,,,,,,,,,,,,-2,,,,,
,-141,9,405,1134,2431,-810,,,,,,,,,,,,-2,,,,,
,294,-13,1750,5193,8355,17200,,,,,,,,,,,,1,,,,,
,-490,-5,474,1430,1915,8031,,,,,,,,,,,,1,,,,,
,217,1,45,112,-185,1677,,,,,,,,,,,,,,,,,
,-183,18,-441,-1252,-1830,-6260,,,,,,,,,,,,-6,,,,,
,-2,-20,-1824,-5319,-8040,-19589,,,,,,,,,,,,6,,,,,
,9,-9,-473,-1435,-2371,-2723,,,,,,,,,,,,5,,,,,
,172,10,20,39,-270,3587,,,,,,,,,,,,6,,,,,
,318,-30,475,1313,1876,5028,,,,,,,,,,,,-10,,,,,
,-637,30,1799,5232,8687,12623,,,,,,,,,,,,11,,,,,
,247,,410,1346,2515,299,,,,,,,,,,,,-1,,,,,
,-196,,-15,-55,-118,1952,,,,,,,,,,,,-9,,,,,
,112,-10,-440,-1235,-2299,53,,,,,,,,,,,,,,,,,
,-98,-1,-1752,-5113,-8595,-13854,,,,,,,,,,,,-18,,,,,
,98,-34,-439,-1402,-2040,-7467,,,,,,,,,,,,9,,,,,
,-174,-10,-32,-95,319,-4143,,,,,,,,,,,,18,,,,,
,183,-3,428,1190,1939,5520,,,,,,,,,,,,-1,,,,,
,-40,14,1808,5004,7679,17786,,,,,,,,,,,,-11,,,,,
,1585,-12,484,2334,3587,9070,,,,,,,,,,,,-5,,,,,
,-1180,4,5,-850,-1334,-6014,,,,,,,,,,,,-1,,,,,
,48,6,-487,-1008,-1075,-6340,,,,,,,,,,,,8,,,,,
,-588,-2,-1816,-5301,-8614,-13282,,,,,,,,,,,,5,,,,,
,96,-8,-440,-1417,-2643,-1286,,,,,,,,,,,,-5,,,,,
,96,1,49,144,-103,1610,,,,,,,,,,,,-3,,,,,
,3282,-22,461,1228,2352,367,,,,,,,,,,,,-12,,,,,
,45,-10,1759,5132,8762,11494,,,,,,,,,,,,10,,,,,
,-2996,12,407,1375,2076,6757,,,,,,,,,,,,10,,,,,
,-462,-11,28,37,-311,3355,,,,,,,,,,,,8,,,,,
,151,-4,-413,-1132,-2155,-2038,,,,,,,,,,,,-13,,,,,
,-73,3,-1793,-5241,-8177,-18581,,,,,,,,,,,,-10,,,,,
,88,,-499,-1484,-1972,-8434,,,,,,,,,,,,2,,,,,
,-164,-21,-16,-46,-163,2307,,,,,,,,,,,,-2,,,,,
,5075,1,479,1269,1846,6966,,,,,,,,,,,,16,,,,,
,-3910,-1,1836,5321,8275,16683,,,,,,,,,,,,-6,,,,,
,6634,17,449,1418,2469,1225,,,,,,,,,,,,-2,,,,,
,-3894,-25,-46,-85,333,-3785,,,,,,,,,,,,-7,,,,,
,-3916,10,-475,-1269,-2190,-1052,,,,,,,,,,,,11,,,,,
,36,-6,-1767,-5219,-8723,-12081,,,,,,,,,,,,-3,,,,,
,379,-10,-415,-1299,-2415,-3275,,,,,,,,,,,,-7,,,,,
,3374,-10,10,-21,274,-3294,,,,,,,,,,,,-7,,,,,
,16,,401,1142,2413,-207,,,,,,,,,,,,8,,,,,
,-3704,8,1763,5167,8221,17845,,,,,,,,,,,,-3,,,,,
,17,-14,483,1452,1893,7793,,,,,,,,,,,,-2,,,,,
,989,5,50,-90,-528,215,,,,,,,,,,,,12,,,,,
,-731,-7,-465,-487,-259,-3794,,,,,,,,,,,,-3,,,,,
,1386,2,-1841,-6108,-9636,-21965,,,,,,,,,,,,-9,,,,,
,-1066,11,-456,-1237,-2049,-1238,,,,,,,,,,,,10,,,,,
,-791,-12,27,109,-167,3458,,,,,,,,,,,,4,,,,,
,222,-15,492,1341,1982,4835,,,,,,,,,,,,-4,,,,,
,-272,15,1780,5150,8625,11734,,,,,,,,,,,,-6,,,,,
,-11,-18,407,1350,2549,993,,,,,,,,,,,,1,,,,,
,822,,-23,-20,-150,2646,,,,,,,,,,,,-4,,,,,
,-808,,-428,-1220,-2345,-175,,,,,,,,,,,,8,,,,,
,242,1,-1762,-5108,-8561,-14261,,,,,,,,,,,,1,,,,,
,-302,-1,-434,-1425,-1969,-8127,,,,,,,,,,,,-4,,,,,
,81,-7,-36,-79,292,-3543,,,,,,,,,,,,2,,,,,
,645,-16,425,1187,1920,6212,,,,,,,,,,,,3,,,,,
,-758,23,1819,5241,8133,18677,,,,,,,,,,,,-12,,,,,
,2631,-43,479,1544,2089,5600,,,,,,,,,,,,3,,,,,
,-2622,2,-1,-37,281,-3619,,,,,,,,,,,,3,,,,,
,26,-1,-503,-1333,-1741,-6858,,,,,,,,,,,,5,,,,,
,248,,-1802,-5236,-8547,-12622,,,,,,,,,,,,7,,,,,
,5390,-9,-417,-1380,-2602,-1391,,,,,,,,,,,,5,,,,,
,-3845,11,38,107,-128,1002,,,,,,,,,,,,-9,,,,,
,-1843,-16,450,1200,2397,-109,,,,,,,,,,,,-14,,,,,
,132,16,1757,5136,8724,12071,,,,,,,,,,,,9,,,,,
,-110,-16,422,1378,2021,7257,,,,,,,,,,,,5,,,,,
,1715,-13,19,53,-275,3256,,,,,,,,,,,,-4,,,,,
,4952,-6,-398,-1426,-2700,-3665,,,,,,,,,,,,7,,,,,
,-3859,2,-1802,-4405,-6519,-15943,,,,,,,,,,,,,,,,,
,-2790,-11,-486,-2296,-3516,-10632,,,,,,,,,,,,4,,,,,
,-191,-3,-17,179,203,3512,,,,,,,,,,,,-1,,,,,
,1898,5,483,1303,1860,6784,,,,,,,,,,,,-8,,,,,
,-1568,12,1839,5309,8292,16290,,,,,,,,,,,,-2,,,,,
,-97,-17,422,1489,2683,1005,,,,,,,,,,,,8,,,,,
,7248,4,-47,-176,159,-3329,,,,,,,,,,,,-5,,,,,
,-3726,-19,-468,-1300,-2262,-649,,,,,,,,,,,,-12,,,,,
,-3457,17,-1764,-5149,-8687,-12204,,,,,,,,,,,,9,,,,,
,-87,-2,-406,-1285,-2364,-3582,,,,,,,,,,,,,,,,,
,-227,-20,-23,-30,334,-3903,,,,,,,,,,,,5,,,,,
,4318,-9,414,1128,2308,358,,,,,,,,,,,,-10,,,,,
,-3871,15,1800,5196,8256,18419,,,,,,,,,,,,6,,,,,
,-303,,478,1484,1971,7673,,,,,,,,,,,,16,,,,,
,4,-3,27,103,-130,795,,,,,,,,,,,,-6,,,,,
,-86,-17,-473,-1275,-1700,-7318,,,,,,,,,,,,-6,,,,,
,1139,10,-1833,-5341,-8191,-18443,,,,,,,,,,,,2,,,,,
,-1010,9,-455,-1441,-2476,-1566,,,,,,,,,,,,3,,,,,
,20,-9,26,61,-259,3092,,,,,,,,,,,,-9,,,,,
,6,-10,497,1332,1989,4270,,,,,,,,,,,,2,,,,,
,-2,12,1776,5209,8767,11464,,,,,,,,,,,,4,,,,,
,5102,4,391,1333,2431,1556,,,,,,,,,,,,-1,,,,,
,-3913,3,1,-35,-176,3171,,,,,,,,,,,,-10,,,,,
,258,-2,-423,-1200,-2328,-387,,,,,,,,,,,,-1,,,,,
,-1123,-11,-1772,-5152,-8564,-14859,,,,,,,,,,,,3,,,,,
,3825,2,-438,-1613,-2287,-9512,,,,,,,,,,,,-8,,,,,
,-3795,-18,-37,600,1574,2,,,,,,,,,,,,13,,,,,
,-426,-5,430,405,358,3683,,,,,,,,,,,,2,,,,,
,-199,3,1817,5690,8945,20020,,,,,,,,,,,,-4,,,,,
,956,-3,477,1357,1814,4476,,,,,,,,,,,,-1,,,,,
,-650,2,-5,12,450,-3832,,,,,,,,,,,,-4,,,,,
,-145,,-501,-1335,-1815,-6152,,,,,,,,,,,,-4,,,,,
,2669,-28,-1800,-5246,-8627,-12156,,,,,,,,,,,,4,,,,,
,-963,2,-404,-1352,-2590,-1652,,,,,,,,,,,,-7,,,,,
,-1646,17,38,95,-57,548,,,,,,,,,,,,18,,,,,
,-39,-17,434,1202,2415,-643,,,,,,,,,,,,-6,,,,,
,-57,-8,1752,5162,8717,12958,,,,,,,,,,,,-1,,,,,
,4,-9,427,1365,1947,7704,,,,,,,,,,,,,,,,,
,-104,,38,61,-267,2918,,,,,,,,,,,,-3,,,,,
,1228,9,-419,-1155,-2082,-2962,,,,,,,,,,,,4,,,,,
,-185,6,-1801,-5263,-8056,-19563,,,,,,,,,,,,-4,,,,,
,-896,-15,-491,-1490,-2078,-7121,,,,,,,,,,,,-9,,,,,
,2574,-15,-14,-15,-224,3378,,,,,,,,,,,,15,,,,,
,-2761,-12,492,1275,1813,6437,,,,,,,,,,,,2,,,,,
,151,27,1818,5314,8397,15866,,,,,,,,,,,,-10,,,,,
,18905,-23,441,1401,2547,176,,,,,,,,,,,,-13,,,,,
,-3850,16,-45,-159,56,-2672,,,,,,,,,,,,8,,,,,
,-3480,26,-475,-1214,-2186,-109,,,,,,,,,,,,11,,,,,
,-3457,-42,-1754,-4997,-8337,-11730,,,,,,,,,,,,5,,,,,
,-3900,-12,-416,-1611,-2873,-5318,,,,,,,,,,,,2,,,,,
,-3492,14,-4,-45,312,-4542,,,,,,,,,,,,-10,,,,,
,4950,-32,404,1783,3524,3654,,,,,,,,,,,,3,,,,,
,-3857,-4,1780,4459,6804,16464,,,,,,,,,,,,-2,,,,,
,-1764,26,488,1609,2123,7520,,,,,,,,,,,,-3,,,,,
,2,-32,37,378,512,1465,,,,,,,,,,,,-2,,,,,
,790,-3,-485,-1548,-2132,-8713,,,,,,,,,,,,4,,,,,
,-540,4,-1845,-5253,-8106,-17248,,,,,,,,,,,,-1,,,,,
,-260,9,-437,-1395,-2496,-1052,,,,,,,,,,,,-7,,,,,
,2377,-9,37,60,-259,2818,,,,,,,,,,,,-1,,,,,
,-2384,9,486,1282,2023,3615,,,,,,,,,,,,11,,,,,
,1552,-9,1780,5225,8869,11130,,,,,,,,,,,,-7,,,,,
,-1718,-18,403,1318,2322,2358,,,,,,,,,,,,,,,,,
,776,4,-18,-20,-241,3518,,,,,,,,,,,,3,,,,,
