Packet Number (n), App Timestamp (us),Sensor Timestamp (us),1 (uV),2 (uV),3 (uV),4 (uV),5 (uV),6 (uV),7 (uV),8 (uV),9 (uV),10 (uV),11 (uV),12 (uV),13 (uV),14 (uV),15 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,8739,1,22,209,-160,5197,,,,,,,,,,,,-8,,,,,
,-3907,,-420,-1085,-2203,-1936,,,,,,,,,,,,-9,,,,,
,-3563,10,-1798,-5301,-8014,-20067,,,,,,,,,,,,14,,,,,
,-3009,-6,-464,-1516,-1784,-9617,,,,,,,,,,,,-1,,,,,
,15135,5,-25,-15,-231,3523,,,,,,,,,,,,-7,,,,,
,-3868,-31,474,1275,1619,8215,,,,,,,,,,,,-4,,,,,
,-3679,22,1831,5363,8215,16895,,,,,,,,,,,,8,,,,,
,-3893,-1,436,1362,2604,-17,,,,,,,,,,,,-14,,,,,
,-3915,-32,-37,-110,512,-5238,,,,,,,,,,,,11,,,,,
,3509,14,-468,-1242,-2210,-88,,,,,,,,,,,,2,,,,,
,-3302,-12,-1796,-5215,-8927,-10587,,,,,,,,,,,,-6,,,,,
,5523,-2,-398,-1258,-2489,-2906,,,,,,,,,,,,-4,,,,,
,-3898,1,14,-43,384,-4327,,,,,,,,,,,,1,,,,,
,-365,1,414,1093,2580,-1908,,,,,,,,,,,,10,,,,,
,-1962,-20,1769,5217,8273,18529,,,,,,,,,,,,-7,,,,,
,2264,1,468,1460,1737,9304,,,,,,,,,,,,-7,,,,,
,-850,18,33,144,-266,1693,,,,,,,,,,,,-4,,,,,
,6342,-5,-448,-1263,-1642,-7462,,,,,,,,,,,,4,,,,,
,-3433,-14,-1823,-5396,-7948,-20980,,,,,,,,,,,,2,,,,,
,-3926,,-472,-1387,-2369,-1588,,,,,,,,,,,,9,,,,,
,197,4,6,46,-472,4900,,,,,,,,,,,,-5,,,,,
,-254,-2,489,1132,1391,4480,,,,,,,,,,,,1,,,,,
,130,-13,1812,5819,9931,13812,,,,,,,,,,,,-3,,,,,
,6975,-1,429,749,1719,-3212,,,,,,,,,,,,7,,,,,
,-3926,-22,-40,106,101,3027,,,,,,,,,,,,-4,,,,,
,-3687,3,-463,-1189,-2445,1716,,,,,,,,,,,,-6,,,,,
,-329,1,-1729,-5106,-8721,-13479,,,,,,,,,,,,2,,,,,
,336,-1,-448,-1390,-1941,-8206,,,,,,,,,,,,3,,,,,
,-350,,-44,-147,551,-5849,,,,,,,,,,,,-4,,,,,
,831,,428,1172,1948,5916,,,,,,,,,,,,11,,,,,
,-743,,1818,5289,8015,20475,,,,,,,,,,,,-7,,,,,
,-167,-12,477,1551,1903,6500,,,,,,,,,,,,-4,,,,,
,2567,1,13,16,282,-3420,,,,,,,,,,,,2,,,,,
,-1517,-21,-489,-1396,-1468,-9456,,,,,,,,,,,,3,,,,,
,-642,22,-1822,-5280,-8515,-13286,,,,,,,,,,,,-2,,,,,
,-525,-33,-432,-1374,-2751,595,,,,,,,,,,,,2,,,,,
,-11,-1,55,160,-307,2251,,,,,,,,,,,,8,,,,,
,250,2,446,1220,2376,171,,,,,,,,,,,,-3,,,,,
,338,,1744,5115,9030,9308,,,,,,,,,,,,,,,,,
,-85,-1,426,1383,2127,6408,,,,,,,,,,,,-12,,,,,
,165,13,17,27,-487,5137,,,,,,,,,,,,-3,,,,,
,304,-12,-403,-1109,-2326,-1113,,,,,,,,,,,,-2,,,,,
,-657,1,-1788,-5244,-8169,-18469,,,,,,,,,,,,5,,,,,
,-594,,-470,-1530,-1679,-10816,,,,,,,,,,,,16,,,,,
,1034,-20,-22,-10,-32,1745,,,,,,,,,,,,-5,,,,,
,-779,-14,462,1208,1579,8629,,,,,,,,,,,,-2,,,,,
,339,12,1830,5334,8053,17781,,,,,,,,,,,,,,,,,
,235,-8,458,1352,2237,1118,,,,,,,,,,,,2,,,,,
,-507,-2,-43,386,1598,-4264,,,,,,,,,,,,1,,,,,
,337,13,-480,-1845,-3127,-4263,,,,,,,,,,,,-1,,,,,
,1670,-34,-1794,-5069,-8611,-9499,,,,,,,,,,,,5,,,,,
,-1687,28,-391,-1224,-2550,-1917,,,,,,,,,,,,,,,,,
,378,-26,23,31,230,-2731,,,,,,,,,,,,-10,,,,,
,1129,,407,1105,2702,-2819,,,,,,,,,,,,-2,,,,,
,1048,-7,1758,5176,8390,16483,,,,,,,,,,,,,,,,,
,-1865,-5,471,1426,1759,9800,,,,,,,,,,,,,,,,,
,-92,1,27,142,-317,2681,,,,,,,,,,,,2,,,,,
,-793,,-436,-1217,-1824,-5911,,,,,,,,,,,,11,,,,,
,21,-1,-1827,-5387,-7880,-21970,,,,,,,,,,,,-5,,,,,
,575,2,-470,-1429,-2210,-3665,,,,,,,,,,,,-10,,,,,
,2342,-2,7,-1,-458,5325,,,,,,,,,,,,-4,,,,,
,-2696,-19,493,1369,1716,6284,,,,,,,,,,,,15,,,,,
,427,19,1817,5286,8630,13171,,,,,,,,,,,,-8,,,,,
,-296,1,416,1267,2772,-2135,,,,,,,,,,,,-9,,,,,
,1964,-30,-39,-43,64,530,,,,,,,,,,,,7,,,,,
,-1990,-1,-449,-1236,-2502,1947,,,,,,,,,,,,6,,,,,
,607,,-1764,-5104,-8785,-12514,,,,,,,,,,,,-2,,,,,
,2150,1,-431,-1346,-2075,-6504,,,,,,,,,,,,,,,,,
,-297,,-24,-149,578,-6634,,,,,,,,,,,,,,,,,
,-2580,-21,417,1160,2130,3707,,,,,,,,,,,,-5,,,,,
,53,21,1807,5258,7981,20771,,,,,,,,,,,,2,,,,,
,1463,-2,485,1558,1901,7477,,,,,,,,,,,,3,,,,,
,-865,-6,25,-112,-178,-2420,,,,,,,,,,,,-12,,,,,
,-266,-13,-495,-1008,-749,-8752,,,,,,,,,,,,-3,,,,,
,503,-10,-1830,-5470,-8650,-15879,,,,,,,,,,,,9,,,,,
,-736,,-442,-1507,-2972,255,,,,,,,,,,,,1,,,,,
,1336,8,49,192,-258,3299,,,,,,,,,,,,1,,,,,
,-547,-8,475,1293,2248,1896,,,,,,,,,,,,-6,,,,,
,-663,,1776,5112,9069,8890,,,,,,,,,,,,14,,,,,
,2689,-6,396,1339,2256,4052,,,,,,,,,,,,-4,,,,,
,-2660,-6,8,19,-444,5384,,,,,,,,,,,,,,,,,
,1353,6,-414,-1099,-2372,-250,,,,,,,,,,,,5,,,,,
,-1347,-6,-1781,-5202,-8337,-16937,,,,,,,,,,,,-3,,,,,
,2347,1,-468,-1498,-1674,-11082,,,,,,,,,,,,-4,,,,,
,-2744,11,-32,-82,137,-581,,,,,,,,,,,,8,,,,,
,438,-29,445,1232,1652,8849,,,,,,,,,,,,9,,,,,
,-421,-1,1830,5368,8044,18626,,,,,,,,,,,,-5,,,,,
,452,1,477,1469,2281,3208,,,,,,,,,,,,-7,,,,,
,-255,,-28,-112,627,-6501,,,,,,,,,,,,2,,,,,
,-345,-1,-481,-1324,-1910,-4404,,,,,,,,,,,,-5,,,,,
,-28,,-1808,-5218,-8863,-10028,,,,,,,,,,,,-1,,,,,
,1047,-10,-404,-1298,-2635,-1183,,,,,,,,,,,,-5,,,,,
,-573,,25,84,74,-1023,,,,,,,,,,,,5,,,,,
,-93,10,444,1093,2650,-3052,,,,,,,,,,,,5,,,,,
,102,-46,1753,5154,8637,14143,,,,,,,,,,,,-1,,,,,
,22,5,443,1414,1755,9780,,,,,,,,,,,,3,,,,,
,69,-2,20,134,-375,3452,,,,,,,,,,,,-1,,,,,
,2884,17,-428,-1183,-2047,-4400,,,,,,,,,,,,-6,,,,,
,-2825,-18,-1801,-5533,-8189,-22529,,,,,,,,,,,,-6,,,,,
,-235,1,-495,-840,-852,-3671,,,,,,,,,,,,-2,,,,,
