Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Fz (uV),P4 (uV),O1 (uV),O2 (uV),Ref (uV),AccX (mg),AccY (mg),AccZ (mg),Event A,Event B
,11,,-3,-2,-10,5,-10,-2,3,11,-5,5,-7,8,-13,-12,8,-4,,,,,
,-57,1,8,-6,-16,-8,7,-1,3,-15,,19,10,-9,2,10,-6,4,,,,,
,404,,2,-3,7,5,11,17,4,13,-8,-9,-1,3,3,,-3,,,,,,
,-439,-10,3,2,14,-8,-11,-10,-4,3,-5,5,-7,8,1,-3,8,-3,,,,,
,171,10,2,-4,4,-1,-7,-18,-5,-10,5,5,5,-3,12,3,5,-3,,,,,
,-9,-11,-7,-1,-10,-2,10,5,7,-5,-5,-6,-4,-7,-6,-6,-10,-4,,,,,
,2,-21,-5,,-3,7,-5,11,1,-2,10,-6,15,-2,-5,10,,11,,,,,
,-121,21,8,8,-6,,5,-1,-6,-2,-2,,-3,14,-2,8,8,2,,,,,
,146,,4,6,7,4,2,-6,7,15,,,-10,-8,-2,-17,-4,-13,,,,,
,4,-20,-1,,-5,-4,-5,6,-10,9,9,-5,5,-5,14,-1,-6,14,,,,,
,80,-11,4,-8,1,-7,5,-9,6,-7,,7,-4,8,3,18,2,1,,,,,
,191,14,-16,9,-2,-6,10,4,2,-6,-10,-3,-1,-7,-2,4,-8,-24,,,,,
,-142,-12,12,6,,5,-12,1,-9,3,5,-5,3,-10,-10,-5,8,22,,,,,
,-422,-1,1,-7,-3,7,-3,8,-6,-11,10,14,-4,7,-13,-3,,3,,,,,
,1220,,4,-4,7,1,-2,-18,2,9,-4,-2,1,-3,-1,,-9,4,,,,,
,-1141,,-12,-2,-3,5,5,-7,5,5,-3,-2,3,2,6,-1,-15,-5,,,,,
,230,-1,,-1,-12,-11,8,10,8,-14,-8,-9,8,3,3,-3,23,-8,,,,,
,-92,10,5,3,9,-5,-6,10,-2,2,-10,5,2,,-1,3,6,-4,,,,,
,70,-2,-4,-11,5,12,5,-7,9,13,8,8,5,8,2,-5,3,10,,,,,
,-175,-19,5,6,-5,,-7,-2,-12,2,10,2,-1,-3,8,-4,-7,,,,,,
,131,6,3,8,4,3,-5,3,-7,1,-6,-4,-5,6,,-1,-7,3,,,,,
,84,-21,-8,-7,6,,-5,2,,-12,4,-12,3,-7,-6,2,16,9,,,,,
,-407,16,10,-6,2,-7,5,-2,-1,-1,4,,-8,-7,-5,-7,3,,,,,,
,21,-14,-3,10,-8,9,3,1,4,2,15,16,13,18,9,-2,-9,-11,,,,,
,347,13,-8,3,3,-5,-8,-11,,-4,-7,-7,-8,-14,-3,,-9,-2,,,,,
,-3,-19,7,1,2,1,17,6,4,1,-2,-2,-1,-5,-7,11,13,4,,,,,
,38,1,3,4,-2,-10,1,8,2,10,-11,2,,-3,5,1,,-6,,,,,
,-247,17,-7,-17,4,8,-5,15,,6,3,-3,,-2,-2,-10,-11,-6,,,,,
,285,-17,-9,-4,-10,7,-10,-12,-1,-12,20,-7,8,24,9,12,6,11,,,,,
,-397,16,12,15,3,-9,5,-3,3,-1,-8,4,-14,-5,4,-14,-1,3,,,,,
,286,1,-4,-6,3,-12,4,-6,-2,3,-1,15,9,-4,-8,-2,9,-2,,,,,
,2684,-27,8,15,8,16,1,11,-7,6,-5,-3,1,9,-5,4,-6,-4,,,,,
,-2201,,,-1,-11,3,-5,-3,-1,-8,-1,1,-12,-2,5,10,,-1,,,,,
,-786,-1,-14,-3,-7,-5,-4,,,-1,-18,-10,-4,-17,-1,1,10,-3,,,,,
,233,11,-2,-7,13,4,14,-6,1,1,12,-8,10,9,3,-4,-2,,,,,,
,305,-10,7,1,5,15,-1,2,6,-3,-6,10,-2,-5,,1,-10,-2,,,,,
,-2,-2,4,,-2,-13,-15,,4,-5,6,3,7,6,3,2,3,2,,,,,
,-209,12,-1,-3,-10,-10,6,7,-3,5,3,6,-2,-12,-4,-2,,13,,,,,
,-64,,-4,6,4,10,-5,3,3,5,-4,-1,-12,-9,-1,4,,-6,,,,,
,-99,-10,6,4,-1,-3,10,-6,-13,7,-3,-4,-5,8,-2,-9,7,-9,,,,,
,865,-37,-1,-15,-5,-6,7,-2,6,5,1,4,-3,,4,-1,-8,-1,,,,,
,-980,-1,-6,-6,-1,2,,,1,-10,9,-8,3,,-1,16,,5,,,,,
,-29,11,1,2,,-6,-10,2,13,,10,-13,12,8,4,,5,-10,,,,,
,-67,-19,-5,-6,-12,2,-7,-4,-2,-7,-4,6,,7,4,2,-6,17,,,,,
,446,-2,15,-3,7,10,15,-8,-7,-5,-4,9,12,5,10,6,7,-2,,,,,
,2102,12,-1,11,18,-21,8,10,2,12,-8,-9,-7,-11,-22,-10,,-2,,,,,
,-460,,-6,4,-3,8,-1,-3,-11,4,8,12,2,-9,6,-1,-2,3,,,,,
,-1783,,-1,1,-2,12,-13,-1,6,-11,-10,-8,-18,4,-4,-18,-8,-1,,,,,
,92,1,3,,-10,,3,7,10,-3,5,5,4,5,3,5,-1,7,,,,,
,-323,,-5,-9,5,-14,-3,-1,-13,,-13,-9,10,-3,-5,10,-1,-12,,,,,
,3019,-1,-9,8,2,5,-4,-10,8,5,19,2,9,4,10,10,1,-2,,,,,
,-2996,-9,13,5,-4,12,1,4,,2,-11,7,-10,-1,-6,-5,1,15,,,,,
,-4,-23,13,-9,11,3,,4,-7,13,1,-7,-7,3,-14,-14,2,-12,,,,,
,-57,2,-19,10,-7,-13,-4,-9,10,-10,8,-10,-2,-4,-5,,-6,-6,,,,,
,176,1,1,,-12,,-5,1,-3,-17,-7,15,10,3,17,10,9,-2,,,,,
,-120,-2,1,,9,1,-2,-1,-3,,6,7,13,4,5,12,13,8,,,,,
,140,1,4,-3,3,3,5,14,6,6,5,-9,-11,-6,-6,-10,-19,7,,,,,
,-188,3,7,2,19,2,-2,,2,-6,-8,2,-7,-7,-11,-25,-8,-21,,,,,
,145,-17,-10,-2,-14,9,12,-11,3,12,,-3,1,6,10,13,4,-7,,,,,
,-116,,-17,-7,-23,-10,4,1,-6,4,-9,8,10,10,4,7,4,17,,,,,
,1660,12,3,,5,-8,-2,,-7,-4,4,-1,4,3,9,8,5,6,,,,,
,-353,-1,2,5,13,-1,-10,2,17,-7,15,4,-8,-5,-13,-1,3,8,,,,,
,-917,-6,17,,-5,2,8,-8,-15,7,-3,-3,-12,-9,-4,-1,-7,-1,,,,,
,-551,-6,-7,-4,5,-5,-12,-7,-5,-3,2,,13,-4,6,-4,6,-2,,,,,
,3350,-18,-12,8,-2,-2,9,17,-7,5,1,,3,-9,3,4,-7,,,,,,
,-3260,18,3,3,3,1,-4,6,6,7,,-11,3,17,8,2,5,-5,,,,,
,1879,2,7,-3,10,10,-2,-4,3,,-12,-4,-19,,2,-4,,,,,,,
,-1820,-28,-4,-5,-8,6,-5,-3,1,-6,-2,,-5,-16,-14,2,9,5,,,,,
,110,25,1,6,-6,-1,18,-2,-3,-7,7,11,3,9,-1,-4,-9,-9,,,,,
,-48,-25,3,5,8,-4,,3,-3,,-6,1,16,11,7,-9,-6,-1,,,,,
,-20,10,8,-1,3,-3,1,12,13,11,-4,,2,-4,2,4,2,3,,,,,
,-33,2,,-13,,-2,2,-11,-4,-3,10,9,-5,-4,-4,13,3,-3,,,,,
,845,-13,9,2,-2,5,-8,6,-4,1,6,7,-6,12,-9,-7,-5,,,,,,
,-677,15,-15,9,-7,-5,-1,-6,,,-5,-15,-1,-7,4,,-6,8,,,,,
,50,-17,2,4,6,-3,8,-7,13,7,-5,-5,4,-6,,,-10,4,,,,,
,-279,3,1,-9,4,,-3,1,-9,,-13,-4,-5,7,-2,2,17,-3,,,,,
,110,-3,-1,-8,-7,-4,-7,-11,-4,-7,10,4,1,9,11,-2,7,4,,,,,
,11072,4,,10,8,17,3,27,-1,-3,-10,6,3,-17,-5,-11,-3,-20,,,,,
,-3874,-1,3,5,3,16,10,1,8,12,16,-9,-3,-2,6,-8,-4,2,,,,,
,-3881,15,3,-17,-11,-26,-6,-11,-18,-10,10,7,8,5,-7,17,-2,11,,,,,
,-2996,-33,2,-3,-7,7,-14,7,9,-6,-14,13,-15,1,-13,-13,-4,-9,,,,,
,6024,-5,-3,13,7,4,8,-1,3,18,-3,-13,7,-4,10,14,4,3,,,,,
,-3407,,-6,-1,1,3,2,4,4,-6,2,-7,8,16,,7,2,7,,,,,
,-743,3,55421,55427,55488,55513,55417,55460,55480,55506,55490,55536,55562,55572,55485,55513,55572,55539,,,,,
,-1882,-11,222807,222925,223152,223268,222826,222998,223184,223190,223174,223356,223457,223394,223043,223213,223480,223344,,,,,
,-391,14,55974,56036,56093,56140,55995,56063,56113,56086,56103,56145,56178,56145,56038,56105,56167,56137,,,,,
,250,-5,-6,-12,1,-2,2,10,-12,15,-3,-4,3,7,3,5,1,4,,,,,
,849,,5,-4,-16,-7,7,-1,-2,-3,4,-16,-6,-3,-2,-4,-4,-10,,,,,
,-755,1,8,-5,6,-11,7,1,15,-3,2,4,-18,-15,2,-7,5,,,,,,
,-417,-16,-1,-2,-13,9,-12,,-16,8,3,-5,8,5,12,15,10,11,,,,,
,-50,-3,-15,5,6,-2,-3,-1,4,-10,-3,1,18,,-5,10,-17,-12,,,,,
,-42,,-3,8,7,-2,2,2,,10,1,2,-18,-13,-8,-12,5,-9,,,,,
,302,-7,5,,7,6,3,13,2,-1,4,3,-2,-6,7,-14,,3,,,,,
,-169,7,1,-5,-6,,5,-7,-4,-16,-2,7,4,17,-5,5,-4,-1,,,,,
,25,,4,5,,1,-1,4,11,10,-3,2,12,6,5,24,2,9,,,,,
,-54,11,5,7,-4,-16,-11,-3,4,9,-3,-3,-21,-3,-6,-21,-4,-9,,,,,
,150,-11,8,1,4,10,7,2,8,13,,-9,9,,2,8,1,-6,,,,,
,-132,,-10,2,-1,2,-3,-1,-1,-7,-7,2,11,,6,-1,3,10,,,,,
,-3,,-8,-8,5,,-5,-15,-10,-21,7,-2,-11,3,-4,5,10,6,,,,,
,-66,,10,-10,-3,5,13,8,3,5,18,7,-1,-6,-10,-2,2,3,,,,,
,186,-7,13,10,-3,6,,12,3,3,-11,-4,-4,-14,1,-17,-24,-10,,,,,
,-98,-37,-8,1,8,4,-2,-2,-14,14,3,4,13,8,3,12,16,-1,,,,,
,-15,4,-18,-1,-15,-20,3,,,-16,1,,2,4,-5,1,3,-1,,,,,
,-92,-1,,6,12,4,-3,-4,10,,-2,-2,-10,4,9,-1,-10,-7,,,,,
,116,3,9,2,-4,-1,-3,-10,-12,12,-10,-19,-5,-15,-3,1,-8,9,,,,,
,-81,-17,3,-9,-5,11,1,18,6,-8,3,8,11,12,4,-2,12,1,,,,,
,-28,2,-3,-9,-4,1,-2,,6,-10,12,12,-13,11,-13,-2,-3,-3,,,,,
,95,12,-6,1,3,-6,9,-7,-1,-5,-9,-3,-10,-5,5,-1,-6,1,,,,,
,-60,,6,12,6,-7,,-14,-14,11,5,9,18,-1,16,14,3,14,,,,,
,-73,2,9,12,7,9,-3,3,-3,14,-17,-14,3,-11,6,-7,5,-14,,,,,
,505,-2,5,-4,2,6,-14,2,10,6,-5,14,,5,-11,3,-4,-4,,,,,
,1357,-1,-3,-11,6,-10,-1,11,12,-5,5,3,-3,-3,-7,1,8,1,,,,,
,-1582,10,-4,-1,-3,-4,7,5,6,-15,15,-10,3,-8,-7,-1,-1,3,,,,,
,1002,-38,-8,-1,-2,12,4,-7,-14,-8,-8,-8,-8,-10,-5,-7,-6,4,,,,,
,-1242,-2,4,-7,,-5,5,-13,-2,-3,3,-1,5,18,6,-4,5,-3,,,,,
,3108,10,9,4,-3,-4,1,2,,6,2,12,10,7,10,-4,-3,5,,,,,
,-1864,3,-2,-1,-7,16,-8,7,-6,-1,8,,-11,-4,-6,7,-9,-5,,,,,
,-1250,19,-1,-16,,-4,2,7,-1,11,-8,-13,-13,-3,-2,4,5,-8,,,,,
,207,-41,-10,14,-1,-7,-3,-9,3,-4,3,2,11,3,2,4,9,8,,,,,
,-214,-3,-8,6,-7,-4,2,-5,-3,-11,,9,5,1,-3,5,,2,,,,,
,132,-2,-2,-7,9,4,-5,5,-8,14,7,-5,-7,6,-7,-5,-3,-9,,,,,
,-14,19,5,1,-3,,1,8,6,-2,-5,15,16,3,10,-11,19,6,,,,,
,-91,-4,5,-5,7,-2,4,-10,14,-1,-9,-11,-16,-4,5,1,-10,11,,,,,
,3127,-15,11,8,-6,-2,6,4,-7,-2,-2,2,-10,-14,6,-4,-10,-12,,,,,
,-2590,-11,-8,12,2,-2,-10,6,-5,-9,4,8,14,5,,11,2,-9,,,,,
,-510,13,4,-4,-2,4,5,2,7,12,2,-5,-2,9,-11,5,-10,13,,,,,
,-142,2,-4,-7,-7,1,5,-7,3,-6,-9,-11,7,-10,10,5,8,9,,,,,
,189,-4,7,-12,8,11,-3,-2,-6,7,-4,3,-2,-11,-7,-25,1,2,,,,,
,68,-21,-12,15,,-11,-19,-2,-2,-3,11,3,7,17,,17,5,2,,,,,
,-113,2,-7,-7,-6,-4,6,-12,-3,-4,3,1,-7,2,,-5,6,-6,,,,,
,-102,-2,,2,5,4,18,6,11,5,3,6,6,-7,2,-7,-1,-6,,,,,
,-3,1,14,9,10,-2,-5,,,-9,5,3,-1,-2,-11,-3,-8,8,,,,,
,208,17,2,-9,3,-5,5,,17,6,-9,2,-5,9,11,3,,2,,,,,
,-171,-16,9,-2,-8,5,3,4,-14,12,11,-3,1,-2,-2,12,10,-11,,,,,
,3537,-1,-15,-4,-7,-1,-8,18,-14,-8,,-5,11,,2,,-10,-2,,,,,
,-3610,-5,2,11,7,3,1,-10,-1,-9,-11,-3,-5,5,5,-7,7,-2,,,,,
,94,-1,-7,3,5,3,-5,-8,-5,-3,-8,-1,1,8,1,-13,-10,6,,,,,
,-41,19,2,1,-2,-11,-6,-7,6,14,16,3,1,-6,5,6,,6,,,,,
,3640,-29,7,5,-9,-1,4,3,-1,6,-10,-3,-9,-17,-9,12,-3,-2,,,,,
,-2525,13,6,-6,2,3,6,1,2,2,11,8,-4,5,-4,-7,-6,-12,,,,,
,-788,,,-5,4,17,-3,9,11,-13,4,4,-2,4,7,21,17,3,,,,,
,-222,-1,-8,6,-4,-3,3,-1,-9,-23,,-5,-1,-12,2,-17,-8,8,,,,,
,1536,1,-1,6,9,-15,-3,-5,3,23,-8,1,-7,10,-1,-2,-19,2,,,,,
,13543,-8,4,-9,5,-2,3,7,10,18,-12,1,21,8,-6,-6,14,-14,,,,,
,-3883,-7,1,-11,-4,9,-5,6,,-14,16,-6,-5,-6,-4,2,7,-9,,,,,
,-3879,20,6,16,-8,11,5,2,10,-1,-4,2,8,-6,-1,9,-5,8,,,,,
,-3895,-21,6,5,3,-11,10,1,-2,-9,2,3,-14,,5,-8,-4,8,,,,,
,-2763,-6,-8,-10,-1,-15,-10,-13,-12,6,-2,-4,3,19,-7,6,4,-3,,,,,
,5746,11,-6,2,3,7,-5,,-2,10,3,7,12,-15,,11,12,9,,,,,
,-3857,4,-8,,-2,4,12,3,8,-3,-7,-9,-4,5,11,-7,-5,13,,,,,
,-2556,12,,1,-5,7,-3,6,-7,-8,-1,-6,-4,-4,7,-5,-12,-17,,,,,
,-172,-32,5,,7,7,-4,2,-8,5,1,-4,-2,2,-8,-3,6,-3,,,,,
,10,,14,-5,-7,-9,-4,-6,-6,1,,-1,-3,-8,-23,4,-3,1,,,,,
,39,,7,3,2,5,,,12,-4,-8,12,13,6,5,-11,-5,,,,,,
,134,2,-4,3,5,-3,1,3,9,1,6,-8,-4,7,16,13,13,3,,,,,
,-103,,-13,-3,-7,-6,,-14,-10,-4,,7,3,1,5,17,22,10,,,,,
,48,1,-7,-6,4,-5,2,9,-5,8,5,3,-2,-5,4,-10,-11,-4,,,,,
,-252,-3,5,9,-7,12,-9,6,8,8,-1,-5,-15,-4,-5,-23,-12,1,,,,,
,201,-32,8,-4,3,2,7,-6,-10,-5,-14,11,-5,6,,-4,2,-4,,,,,
,-68,32,7,-6,,5,1,2,,-8,-8,-6,-3,-7,-5,1,-6,-15,,,,,
,778,-26,,-5,5,-14,7,3,,2,8,,3,2,-10,16,2,-6,,,,,
,-762,-2,2,18,10,-2,4,-11,10,5,9,-12,7,-3,-6,-6,3,10,,,,,
,81,2,-10,-9,-7,4,-6,2,-4,-7,8,6,13,3,2,-1,2,-7,,,,,
,-78,-6,-6,-5,-10,4,-6,8,1,8,-5,4,-15,2,14,,-3,12,,,,,
,742,3,-6,1,8,,-2,-9,-7,-3,,9,1,12,8,12,11,6,,,,,
,281,6,5,-15,9,-14,3,6,1,-7,8,-4,-4,-15,-15,-6,-5,-7,,,,,
,-1061,-6,4,4,-12,,7,1,4,-4,-14,-5,8,-14,8,-8,-2,6,,,,,
,-160,-12,-8,15,-3,1,-3,3,-2,,-12,5,-1,6,-3,-8,6,6,,,,,
,2527,,-2,1,17,16,-4,-7,4,14,13,-4,6,8,2,15,4,-7,,,,,
,-1991,4,10,1,4,1,12,-6,-7,-4,-5,-3,-5,5,-9,8,3,-6,,,,,
,-88,-4,-8,,-14,-7,-1,-5,3,1,11,-2,,-1,12,6,-3,-2,,,,,
,-279,-23,7,3,-3,-5,-10,13,4,5,12,12,11,-1,3,-7,-12,6,,,,,
,24,23,-8,-10,,1,7,-8,-5,,-3,-5,-2,,-10,-10,-7,-1,,,,,
,-51,-23,-7,2,3,-6,-11,-3,-4,-7,-10,8,-7,8,-1,6,-2,5,,,,,
,44,3,-1,,-10,3,-7,,9,-1,,-6,3,-5,3,-5,5,-2,,,,,
,16,2,7,,,4,5,,-5,2,-5,-3,-11,-3,-3,7,1,1,,,,,
,-154,-1,8,-2,8,9,12,3,7,,10,5,6,-5,3,-5,-4,-4,,,,,
,83,1,,-1,4,6,-8,15,3,-1,1,-12,9,,,-7,15,-1,,,,,
,61,-5,-3,13,-18,-7,-8,3,-7,7,1,11,,7,7,1,7,-3,,,,,
,15,5,-4,-4,11,-9,16,-13,-5,-3,-12,1,-8,-3,-6,,-16,-2,,,,,
,22,-15,4,4,2,5,10,2,11,-3,-4,-8,-10,-1,-8,6,-4,1,,,,,
,93,-17,-2,-4,6,4,-4,-2,-6,3,1,-4,19,6,-5,3,11,2,,,,,
,-93,19,4,-3,-13,-8,-4,-7,2,-1,-1,9,-6,-3,2,-2,-3,,,,,,
,-204,-18,-4,-1,9,-4,-8,2,-9,-2,3,1,-6,-4,15,-6,-5,8,,,,,
,46,-1,-2,-12,-2,-5,-4,-2,-3,-14,-2,-6,3,2,3,9,7,-8,,,,,
,421,,10,12,-10,18,3,-2,1,3,3,-4,6,8,2,-6,6,6,,,,,
,427,-13,6,1,3,-9,2,9,19,3,2,-1,-5,-3,-5,-2,-8,-5,,,,,
,-852,1,-5,2,5,1,-2,2,-5,1,3,3,-1,-1,,2,-12,4,,,,,
,1918,9,-10,10,7,11,-5,-2,-4,6,-2,7,7,,2,10,-10,1,,,,,
,-1789,32,13,-4,6,-1,2,5,-4,3,6,-1,-6,-10,-2,3,15,-8,,,,,
,230,-49,-7,-11,-7,-10,5,-14,-9,-6,1,-14,-10,,-7,-18,-1,-2,,,,,
,1644,-9,-5,-8,-1,5,5,1,,-5,4,-4,7,-5,6,-5,-7,-3,,,,,
,-2040,26,5,10,8,10,-5,3,15,5,-1,12,6,5,-10,10,7,9,,,,,
,83,-30,7,1,-8,-18,-13,7,6,,-2,7,2,9,18,6,,3,,,,,
,2,4,2,-4,-3,1,-7,6,-2,-7,-14,-2,-13,6,,1,3,8,,,,,
,166,17,3,-1,-9,8,22,-5,-13,12,-1,7,8,2,-10,13,6,-12,,,,,
,392,-21,-17,7,-5,-4,,-7,-1,3,3,-10,5,-18,1,-8,1,2,,,,,
,-214,-10,4,4,14,1,-6,11,5,-6,1,2,-8,-5,2,-8,2,-12,,,,,
,498,10,10,3,-2,,1,-6,-6,-4,15,9,3,5,-1,15,11,7,,,,,
,-809,-10,3,,-12,-7,5,-12,5,-1,,-5,2,4,3,-7,-14,5,,,,,
,1863,,3,-7,4,3,-7,4,4,3,-7,-11,-7,1,-7,-8,-6,-7,,,,,
,-1857,27,-20,-2,-5,-8,-6,8,-2,-11,-13,-3,,-9,-9,-4,6,-6,,,,,
,85,-26,-3,-6,6,2,1,7,4,9,-1,3,-10,1,-5,9,-14,10,,,,,
,-78,11,3,3,-5,26,16,2,,10,-1,5,12,9,4,1,-4,10,,,,,
,-12,-2,10,10,7,-16,-3,-10,-3,-6,9,2,-4,-3,8,-10,12,4,,,,,
,45,-29,-3,-13,9,-4,-3,-6,-8,5,-4,-1,,-2,10,-5,-11,-16,,,,,
,-18,1,-2,-6,-8,1,-11,-1,-4,-7,1,-1,-2,-1,-5,3,,-10,,,,,
,520,,3,7,3,,6,7,-3,-11,8,3,2,-2,-5,3,11,9,,,,,
,-436,1,-4,-4,3,12,6,8,-3,1,-5,5,5,1,10,12,8,7,,,,,
,-177,-11,8,4,2,-5,7,-2,18,9,5,-5,-9,-1,-8,-8,,-6,,,,,
,17,-4,-6,14,-12,-10,-8,-4,-2,,,-7,3,5,-5,7,-5,-3,,,,,
,-7,18,-55428,-55444,-55488,-55522,-55417,-55471,-55494,-55511,-55497,-55544,-55549,-55569,-55482,-55513,-55587,-55539,,,,,
,808,-5,-222798,-222914,-223141,-223270,-222836,-223016,-223174,-223203,-223177,-223344,-223447,-223408,-223032,-223229,-223475,-223341,,,,,
,-898,,-55969,-56016,-56080,-56112,-55999,-56067,-56101,-56091,-56100,-56131,-56182,-56129,-56042,-56099,-56160,-56124,,,,,
,1029,-7,-10,-10,-7,-7,2,-3,-1,,-8,2,-10,1,-1,-8,,1,,,,,
,-900,-5,7,5,8,7,12,20,9,13,23,,-3,-1,9,1,-1,9,,,,,
,265,-18,-13,-4,-15,-25,-6,-14,-7,-12,-7,-4,-2,-1,-3,-4,4,-12,,,,,
,444,21,-4,3,-1,-2,-18,6,-3,4,-16,-6,7,-9,-2,6,,-4,,,,,
,-504,-7,14,-6,5,12,10,11,-1,13,13,13,2,-1,-4,-3,10,4,,,,,
,2026,-13,2,-7,-7,-1,-3,-13,8,-5,1,4,,2,-6,-8,-8,-2,,,,,
,-1814,-5,3,,-10,-1,2,-3,-9,-16,-6,-3,,7,8,8,4,2,,,,,
,-83,-9,-10,9,1,4,-14,2,3,2,-3,-8,,-3,-2,-2,9,3,,,,,
,-545,-4,-4,5,18,2,24,7,-9,11,3,-3,-3,5,-5,-2,,-11,,,,,
,335,18,-2,-7,5,7,1,,15,-1,1,6,4,-3,5,16,-11,10,,,,,
,2971,-13,16,-3,-2,-3,-14,7,3,12,-1,13,-1,6,-2,-9,-1,7,,,,,
,-2337,13,-10,3,1,7,15,-4,-3,-4,5,1,-2,-9,,-14,-1,-4,,,,,
,1168,-1,1,-1,-8,-12,-8,-15,-10,-10,5,-10,-3,7,-5,2,3,8,,,,,
,2745,-1,-1,6,-2,-7,-2,1,13,3,-5,-1,5,8,10,3,4,,,,,,
,-3903,-33,-4,-4,-2,,18,-3,-3,,-7,-4,1,-5,-10,4,-16,-8,,,,,
,4742,,-8,5,14,10,-3,7,2,5,-5,-3,1,-4,-3,-4,,-14,,,,,
,-3861,22,9,-8,-7,-8,-26,-6,-1,-15,13,-2,-2,1,10,3,10,-6,,,,,
,-1000,-19,1,2,-5,5,-1,5,2,16,-4,-1,1,1,,-4,-1,2,,,,,
,-141,-3,-5,2,5,-5,11,3,-8,-4,13,21,10,5,-4,11,9,8,,,,,
,941,,5,-2,-4,2,6,-8,7,-4,-8,-1,-15,-5,-6,-5,6,-1,,,,,
,10388,7,-3,-6,1,,3,13,-8,3,-12,-3,12,-17,-2,-2,-10,3,,,,,
,-3899,-19,-10,-4,20,5,-10,,3,-2,,-2,3,5,-3,-8,-4,-2,,,,,
,-3932,22,10,-6,-10,-9,4,-3,-3,-7,5,-3,-1,11,10,-2,7,-8,,,,,
