Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,158,12,-2,,1,-6,15,9,-1,-4,3,11,4,-5,-12,-12,12,-8,,,,,
,-220,-11,-11,-21,-18,-9,-30,-9,-13,-23,-25,-13,-16,-12,-16,-10,-32,-7,,,,,
,2249,-1,-8,-2,,-5,-5,4,,6,-5,,-14,-1,-8,2,,2,,,,,
,-1485,,-3,16,6,2,1,3,-9,3,11,11,10,11,17,18,5,7,,,,,
,-85,-1,11,10,9,12,18,5,11,2,5,10,15,5,4,6,4,1,,,,,
,-251,2,11,-8,-14,8,5,1,14,5,-6,-4,10,-1,-3,-1,14,1,,,,,
,715,-21,3,13,21,1,14,3,10,4,10,,-1,16,11,,3,-9,,,,,
,-1058,-11,-7,,-7,5,-19,-4,-9,13,-9,-3,-8,-11,-8,-4,-19,7,,,,,
,-204,12,-15,-18,-19,-2,-20,-25,-27,-18,-3,-9,-7,-14,-12,-7,-9,-1,,,,,
,2303,-14,-18,-7,6,-14,4,7,-23,-16,-6,-9,-2,-2,-1,-15,2,4,,,,,
,-1794,14,18,10,7,,18,3,18,12,21,22,-3,17,1,16,10,-3,,,,,
,578,-10,7,3,10,-2,6,-3,18,7,-6,-1,5,5,16,5,4,-4,,,,,
,-930,10,-2,-2,3,2,-5,8,12,-3,11,-6,14,-2,-12,5,-1,-3,,,,,
,-11,14,10,6,3,1,8,6,-8,16,-3,3,-1,-3,11,-11,13,10,,,,,
,456,-14,3,5,-8,11,6,12,15,13,16,17,20,11,16,16,-6,3,,,,,
,-387,-10,-19,-21,-25,-29,-42,-28,-12,-38,-31,-23,-35,-41,-30,-28,-35,-3,,,,,
,-7,-1,1,16,-3,-2,-1,-8,-4,-4,-2,-5,-14,-9,3,15,-2,8,,,,,
,2067,-22,14,5,23,28,23,16,4,23,17,5,16,27,4,12,20,-9,,,,,
,-2046,14,-11,-26,-5,4,1,-6,-16,-6,-12,-14,-11,1,-6,-19,,7,,,,,
,-65,8,-8,-9,-14,-10,-5,-3,-4,-8,11,6,-4,,18,-1,5,-1,,,,,
,-143,-20,-3,10,1,-15,-15,-10,-2,-8,-15,-7,-5,-5,-21,-19,-6,-6,,,,,
,889,20,29,24,27,8,40,28,30,25,9,20,20,11,12,29,3,-3,,,,,
,630,-1,-32,-24,-14,-3,-15,-12,-6,-18,-14,-8,-8,2,-9,-2,-2,4,,,,,
,-1369,-29,-12,,-12,-7,-19,-4,-20,-16,13,-10,-3,-8,-6,-10,2,-8,,,,,
,109,9,10,5,,-8,4,-6,5,,4,3,-1,-2,4,5,-10,3,,,,,
,54,1,6,-12,12,4,-11,-11,-12,-8,-10,-23,-15,-13,-10,-12,-5,-2,,,,,
,-367,-12,23,18,11,28,18,30,20,23,15,18,30,24,17,26,20,2,,,,,
,148,1,,4,1,-7,-10,8,-4,4,-4,10,2,7,-4,3,-1,8,,,,,
,-443,1,-14,,-3,-5,6,-8,10,-1,8,18,-2,-7,1,-7,2,1,,,,,
,1067,10,13,-9,-16,-8,3,-11,-9,-14,-3,-17,-8,-9,5,-8,-6,-11,,,,,
,-872,-10,-3,4,2,-2,1,-3,-4,5,-11,1,5,-5,5,1,-4,3,,,,,
,42,7,-7,3,5,-14,-6,5,-6,-2,-2,13,7,5,-7,-5,3,-8,,,,,
,101,-8,-1,-2,1,22,5,7,5,16,1,7,,2,5,-1,3,5,,,,,
,109,1,-12,-17,-31,,-10,-10,-1,-4,-2,-24,-13,-10,-24,-9,-16,10,,,,,
,185,,-3,9,11,-1,6,2,7,-14,11,1,-17,,8,-13,5,-2,,,,,
,-128,4,-1,-3,6,-1,3,-6,-3,-6,-11,3,6,-2,3,15,5,,,,,,
,79,-29,11,-5,,-6,-2,10,5,18,2,2,13,-4,5,16,-1,-9,,,,,
,212,14,2,11,5,-4,-11,-1,-12,3,-3,-12,-3,-8,-7,2,-10,-5,,,,,
,1685,5,-1,3,-10,-8,1,-2,-3,-6,-8,-3,-8,-3,-5,-17,8,12,,,,,
,-2250,-16,-15,-6,-2,4,-6,,-8,3,-1,-9,8,9,7,9,7,-4,,,,,
,458,10,10,-5,-3,1,13,,3,-9,5,10,-3,5,-13,5,-7,6,,,,,
,-101,,12,7,10,4,-5,2,3,4,-1,12,-3,2,-2,-16,-1,9,,,,,
,-305,1,3,21,-7,6,3,-3,12,5,11,9,10,7,19,11,1,-7,,,,,
,708,11,-15,-9,10,,-8,2,-2,,-4,-13,-11,-11,4,2,3,-11,,,,,
,623,-1,8,-26,11,,5,-1,1,-7,-6,2,10,-3,-8,-3,,1,,,,,
,3,-29,19,12,11,13,30,17,10,18,12,21,19,21,13,21,22,3,,,,,
,-135,,10,28,1,11,5,17,8,21,12,-13,,18,3,2,2,,,,,,
,624,,-22,-1,-11,-2,-14,-14,-13,-14,4,,-3,-13,,-7,-7,2,,,,,
,-1619,,-16,-34,-9,-20,-17,-24,-1,-28,-21,-11,-23,-14,-12,-26,-17,2,,,,,
,526,17,1,-1,-5,-3,-1,-4,-1,-1,-5,,-10,-1,-12,-13,-8,-12,,,,,
,-267,1,5,13,4,3,-6,-3,-4,-1,-5,3,14,-7,3,14,13,7,,,,,
,-31,-45,10,-1,,,3,5,-1,-8,8,2,7,10,1,12,12,5,,,,,
,-102,27,-1,-4,16,2,6,16,-4,25,5,-3,,-6,9,5,-13,-7,,,,,
,3346,,-8,1,-10,-4,9,-11,-7,4,-11,-7,-6,14,8,1,-6,-6,,,,,
,-3117,-7,-1,2,-9,3,2,3,7,,5,10,3,-5,-7,-6,9,6,,,,,
,1625,7,15,5,14,2,-7,12,17,3,22,26,14,4,7,26,5,-1,,,,,
,-1417,,1,-2,7,-1,-7,2,8,-7,-4,-13,9,-3,-8,-15,5,,,,,,
,-888,-7,-4,-4,-4,5,,-9,1,-16,-7,-10,-12,-6,-7,-13,-8,8,,,,,
,618,-35,,2,-9,-9,-8,-7,-38,-9,-9,1,-12,-5,-6,-7,-7,-8,,,,,
,-361,18,-5,7,3,4,16,12,11,10,13,1,7,12,-1,-1,4,,,,,,
,556,16,3,24,2,26,6,17,22,19,15,8,24,15,25,21,19,1,,,,,
,182,-40,-12,-20,-9,-21,-18,-15,-13,-4,-22,-7,-15,-6,-19,-15,-20,4,,,,,
,524,3,2,-8,10,-5,3,-19,1,2,2,-14,-17,-7,17,-5,-1,-1,,,,,
,-702,2,-3,8,5,5,9,7,17,-6,7,15,-2,6,20,15,15,-1,,,,,
,-299,,5,1,-6,-6,-5,-1,-11,-3,-7,2,,-11,-25,4,-2,-7,,,,,
,120,2,5,-20,13,-3,9,-11,-14,10,-8,2,,-12,-6,-11,5,12,,,,,
,238,-5,1,6,-22,4,-5,6,14,3,-4,6,-5,11,3,-13,-20,3,,,,,
,3730,-10,-4,10,,3,-2,5,-10,-1,-7,-19,-2,-11,7,2,-2,2,,,,,
,-3248,14,5,6,2,-3,5,-3,-8,-15,9,-12,14,13,-10,4,9,-8,,,,,
,-249,-9,-2,-11,10,-9,-1,6,9,-4,-1,10,-10,2,,14,4,11,,,,,
,-301,7,1,4,-4,12,,8,8,16,2,27,5,,16,-3,-2,-3,,,,,
,-32,-2,2,-3,8,2,3,-4,5,13,4,-5,8,-9,-9,7,1,-3,,,,,
,1237,1,5,4,2,6,15,18,11,-8,12,1,4,8,-7,,18,-1,,,,,
,-1691,-9,-9,-2,-3,,-6,-24,-8,,,-6,-14,-1,-8,-9,-21,-21,,,,,
,1229,-24,-6,-12,-15,,-22,5,-15,-9,-2,-6,-2,-2,5,2,-5,8,,,,,
,-887,1,-3,10,-1,-11,10,13,2,-6,-5,-2,3,-3,11,3,2,19,,,,,
,94,2,5,8,10,3,14,-1,-3,1,5,-2,9,7,2,,11,-7,,,,,
,1948,20,-3,-23,-11,1,-26,-13,-1,-5,-7,-13,-18,-18,-19,-13,-14,3,,,,,
,-1823,-21,17,4,9,-12,1,-7,5,6,-9,7,11,8,8,12,7,,,,,,
,1168,18,-27,-10,-15,-17,-14,-16,-36,-23,-16,-21,-19,-7,-7,-26,-17,-2,,,,,
,-1749,-18,20,10,8,18,14,8,20,9,10,19,20,4,-3,15,-3,-10,,,,,
,248,3,-4,17,6,10,4,18,20,20,12,3,5,,3,11,1,,,,,,
,-185,-14,-6,1,-2,-7,-4,-5,-9,-6,3,-8,-11,12,1,-7,9,3,,,,,
,362,10,2,-10,-5,3,4,-4,2,-3,-4,20,-1,-8,12,4,10,1,,,,,
,-323,1,-4,-3,-6,-2,9,-8,-5,2,9,2,2,-3,-2,-8,1,6,,,,,
,-74,6,-12,-7,-6,-4,-18,-7,-17,-8,-14,-16,,-15,-10,-18,-9,-8,,,,,
,314,-5,14,-7,13,9,1,13,12,,-8,6,-12,4,5,5,3,2,,,,,
,-11,-1,-3,-1,,-9,3,1,,-8,-3,-17,-6,-10,-1,-5,-3,,,,,,
,41,-22,15,13,11,-4,10,6,19,13,12,5,17,35,15,14,-2,10,,,,,
,737,-12,5,-4,-9,5,-2,2,-12,-2,,1,,5,-5,-9,10,-10,,,,,
,-553,23,-6,5,-6,2,,-12,,9,,-2,-9,-19,-15,16,-8,-5,,,,,
,-652,-19,1,4,8,9,9,7,-4,-6,5,13,16,3,8,1,7,4,,,,,
,165,1,6,13,4,,17,21,11,14,-10,6,5,15,10,1,4,1,,,,,
,489,,5,18,10,8,-3,-11,-1,10,17,6,-3,-5,8,13,1,-2,,,,,
,114,8,-13,-14,-13,-3,-16,-19,12,-15,-14,-3,3,-4,-11,-14,-10,-5,,,,,
,448,6,-18,-19,-2,1,2,,-13,-19,-3,,2,2,-2,-3,,-2,,,,,
,-1136,-30,13,2,2,-7,2,22,5,6,13,-16,-16,6,7,15,8,14,,,,,
,323,13,11,-4,9,10,-10,-7,5,23,3,4,-4,-11,6,5,2,3,,,,,
,-393,,-7,8,-2,-6,-2,-18,-3,-11,-8,1,-1,-12,-10,-27,-15,-5,,,,,
,1066,1,-11,3,-12,8,-7,2,-21,-3,1,1,16,10,-17,5,,8,,,,,
,-176,-1,9,1,19,4,20,18,19,8,4,14,5,16,22,21,1,-8,,,,,
,-944,-1,8,7,-4,-12,-3,5,-2,4,-2,1,-12,-4,-5,-15,3,6,,,,,
,105,3,-1,-12,-7,-9,2,6,13,-15,7,-6,,2,-11,13,5,4,,,,,
,1267,-15,-5,12,-4,14,7,-3,17,8,-3,5,26,11,11,12,17,-10,,,,,
,-1199,3,-16,-5,-7,-8,-11,-18,-18,6,-4,-4,-15,-7,2,-8,-6,4,,,,,
,199,-15,-3,-5,-7,-17,-12,-6,-23,-21,-3,-10,-22,-6,-15,-29,-21,-2,,,,,
,-441,13,10,20,31,37,24,25,8,26,22,1,38,-2,19,29,17,-5,,,,,
,1707,3,20,12,23,11,,6,15,16,1,18,-2,8,11,15,10,-4,,,,,
,-1458,-14,-7,-25,-16,-33,-12,-23,-14,-34,-18,,-25,-3,-19,-22,-19,9,,,,,
,432,11,-12,-30,-23,-15,-18,-19,-11,-12,-5,-15,-22,-27,-28,-21,-27,-9,,,,,
,-538,-17,11,19,-6,23,12,14,15,16,18,4,16,14,12,9,31,4,,,,,
,101,1,1,7,25,4,3,20,5,10,4,1,19,11,20,4,5,-2,,,,,
,738,-2,-2,15,5,-2,10,,1,,-32,2,2,-2,1,-1,-2,-8,,,,,
,-568,8,-6,-21,-29,-8,-19,-8,-9,-11,-2,-13,-15,-11,-1,1,-11,6,,,,,
,990,-7,11,-10,2,6,5,,-5,1,19,1,2,1,-7,-2,3,-5,,,,,
,-1234,3,-9,5,-12,-7,-1,-18,-9,-5,6,6,2,14,-6,6,-3,8,,,,,
,247,-2,16,18,19,1,21,29,12,5,7,18,9,-4,23,10,8,-1,,,,,
,-93,-1,-11,-15,7,-2,-1,-1,1,5,-20,-22,-11,-13,-13,-5,-1,8,,,,,
,158,,-9,-7,-7,5,-20,-15,-8,-17,5,-6,-6,14,-17,-17,-5,-3,,,,,
,497,-2,-2,10,-2,-3,8,-9,-6,-6,-10,10,-1,-3,-2,5,9,-6,,,,,
,-15,-14,22,5,5,-7,4,15,12,15,-10,13,20,2,17,14,9,1,,,,,
,537,17,-7,-1,-20,-7,-15,-11,1,-3,20,-5,-13,-3,,-24,-19,3,,,,,
,-970,-16,10,10,6,9,20,12,9,15,8,-3,12,7,7,27,11,8,,,,,
,-94,-2,-12,-1,-1,6,-2,,-10,-5,-13,,-1,-11,-5,-7,-7,-9,,,,,
,-141,18,-3,-1,-1,-5,-17,-6,-13,-10,6,4,-5,6,10,-5,-6,-3,,,,,
,-72,-18,-7,-8,8,-3,-3,-16,7,-5,-2,-6,-11,-9,-13,-6,6,4,,,,,
,1577,-27,6,1,6,-2,3,7,12,9,-9,1,8,4,-1,4,10,1,,,,,
,-2021,27,11,-3,4,,2,-2,-4,2,-3,-10,-2,1,-7,-15,-2,4,,,,,
,220,-23,-10,-16,-19,-12,-15,,-25,-18,3,-10,-19,,-4,4,-18,-10,,,,,
,212,23,-3,-6,2,12,-12,12,10,,-2,-4,16,3,6,11,-7,2,,,,,
,3178,-7,-11,13,-3,-3,4,-14,-15,9,-5,4,2,-14,-1,-7,2,10,,,,,
,5221,7,31,26,23,13,35,29,25,26,12,16,7,23,25,18,17,-7,,,,,
,-3761,2,2,-4,-8,1,21,8,17,-2,4,5,14,6,,-9,11,4,,,,,
,-3886,-43,-25,-17,-7,-9,-15,-19,-12,-23,-4,-11,-14,-12,-11,-10,-10,-7,,,,,
,-444,18,-14,-6,-5,2,-18,-23,-9,-11,3,-12,-19,-6,-6,-8,-7,,,,,,
,-159,-22,14,-1,,7,-1,2,-1,7,-5,4,10,-6,7,6,3,2,,,,,
,-265,21,10,13,16,-6,8,19,14,19,7,13,7,6,-8,5,5,,,,,,
,166,-21,30,11,9,14,10,11,13,22,10,-3,15,7,13,12,3,-5,,,,,
,1526,30,-32,-29,-7,-9,-18,-10,-14,-30,-21,-2,-10,-6,-16,-20,-28,7,,,,,
,992,-11,-10,11,-10,-6,7,-4,6,1,-7,6,,-3,-2,8,6,,,,,,
,-2004,-5,14,15,14,18,17,4,12,9,19,12,19,14,19,18,36,-7,,,,,
,2522,-14,-7,-13,-4,-4,-25,-6,-12,-12,4,-17,-30,-6,-13,-21,-8,12,,,,,
,-3566,-12,10,18,2,-4,9,13,8,14,8,14,14,2,-9,17,-3,-6,,,,,
,555,17,-15,-5,-23,-10,-10,-21,,-17,-19,-2,-14,-8,-3,-15,-8,-3,,,,,
,211,-3,1,-10,8,1,1,4,-5,-4,,-12,-3,-8,5,5,2,9,,,,,
,-490,-1,7,-8,-7,-5,4,-7,-5,-1,2,-6,-5,-7,,-5,-5,-2,,,,,
,520,-26,3,-2,-5,-10,-9,3,-18,,-13,-7,-5,-3,2,3,2,10,,,,,
,805,27,-7,7,2,,-4,5,-6,6,-3,-7,12,-2,-5,-2,-8,-2,,,,,
,-1025,-30,-2,2,13,10,-1,-1,12,6,13,7,2,26,7,-3,7,-11,,,,,
,497,-2,-3,3,12,3,18,-1,3,-1,-3,21,16,-4,-2,16,14,11,,,,,
,-907,19,2,-2,3,6,12,6,10,5,-5,1,-5,-4,10,2,-2,-13,,,,,
,555,-22,5,14,-6,3,-5,1,12,-3,21,5,-1,3,2,-6,,-4,,,,,
,256,2,1,-2,1,-8,-2,-3,-8,5,-13,-2,-6,,-9,4,-3,-3,,,,,
,-711,22,3,-5,4,12,-5,20,-10,-7,5,2,17,4,-1,2,4,2,,,,,
,440,-4,-8,-5,1,-7,-8,-17,-4,-3,-11,-13,-20,-10,-8,-25,-15,14,,,,,
,-219,-17,-9,-16,-15,-20,-5,-15,-11,-18,-4,-17,-11,,-4,-8,-15,-10,,,,,
,-455,,-7,4,-20,-7,2,-11,5,6,2,,,-8,-2,5,-2,6,,,,,
,395,-1,14,15,16,28,15,15,4,17,8,5,10,9,15,20,9,1,,,,,
,-214,3,12,15,16,12,3,12,-4,3,12,16,21,3,8,3,12,-10,,,,,
,2749,-16,-6,-10,-7,-19,,14,11,-9,-17,2,-15,-4,-3,13,-7,-3,,,,,
,-1794,13,-6,-19,-25,-23,-11,-25,-10,-16,-3,-18,-17,-20,-14,-19,-18,13,,,,,
,261,-22,,7,2,14,3,-3,5,11,8,6,12,7,12,-9,8,4,,,,,
,276,-2,4,-8,5,15,-7,4,-18,4,5,5,7,3,2,3,10,-5,,,,,
,-1309,11,19,18,15,20,16,8,17,19,13,20,6,15,10,26,22,-2,,,,,
,1364,-17,-4,6,-5,-9,3,5,-3,-4,-4,-13,-12,-1,-8,-10,-3,-3,,,,,
,-665,-1,-11,-22,-5,-21,-12,-10,-1,-8,-16,-11,-10,3,-13,-17,-12,-5,,,,,
,1173,48,-3,-2,-1,5,-2,-8,1,-3,-3,4,1,-7,10,11,6,3,,,,,
,-1911,-48,16,24,5,10,15,28,6,16,18,15,14,19,4,7,,11,,,,,
,548,-2,-10,-14,1,-1,-9,,-5,-3,-10,-10,-9,,-1,,-1,-1,,,,,
,48,3,-4,8,6,-8,-3,-21,9,-16,-5,-3,,-8,-16,1,-5,-2,,,,,
,-329,-14,-6,-8,-3,12,4,-1,-4,5,-2,,8,-6,4,-4,,1,,,,,
,-4,-1,-8,2,-12,-8,-18,-7,-10,-14,-18,-11,1,-17,-5,-16,-15,-6,,,,,
,-7,29,12,-4,15,,6,8,9,15,12,4,-6,6,9,21,-1,5,,,,,
,16,-16,3,-17,-3,-19,3,-8,-2,-5,8,-8,4,5,-9,-7,-1,-12,,,,,
,-238,16,2,-6,,,10,-15,7,12,1,2,7,16,5,-24,3,8,,,,,
,33,-28,-23,8,-7,-1,-21,18,-11,-12,5,8,-7,-3,7,15,-5,9,,,,,
,221,13,16,29,14,15,12,11,24,7,,13,1,2,2,17,20,8,,,,,
,327,,-7,-5,-3,-3,-12,-5,-6,,-4,-5,2,-18,-8,-11,-1,-4,,,,,
,-436,-7,1,-4,,-6,12,-3,-14,-8,7,-3,-2,-2,17,-5,-10,-18,,,,,
,1050,2,-4,-6,3,-12,13,-8,-5,1,-8,-12,-20,,-24,,,-1,,,,,
,-949,-12,13,,-2,22,-14,7,-2,-7,-15,2,4,-3,-2,-4,,,,,,,
,7253,11,19,-6,-6,3,-6,14,3,13,-2,5,-10,3,2,-4,8,5,,,,,
,-2884,5,-18,1,-8,,-5,5,-3,-9,8,-10,4,1,-7,1,,2,,,,,
,-3317,-17,12,5,12,12,17,6,4,12,19,12,31,9,21,15,9,-7,,,,,
,-1507,11,-14,,-19,-19,-12,-28,-2,-9,-14,-5,-17,-5,-2,-14,-14,6,,,,,
,445,-9,-20,-7,-8,-21,-20,,-4,-13,-3,6,-15,1,-12,-7,-8,3,,,,,
,-39,10,20,13,33,39,29,18,7,14,27,2,18,14,9,18,12,3,,,,,
,600,5,3,-15,-10,,9,-12,-1,5,-10,-1,10,-17,-2,-3,6,-7,,,,,
,-236,4,-4,6,-2,-5,-10,10,6,-7,-1,,-6,-2,11,7,-11,-1,,,,,
,-532,-14,-20,-12,4,10,-6,1,2,-4,1,5,-7,1,-2,,-1,3,,,,,
,324,9,14,3,-8,-20,-8,-11,-7,-2,-9,-14,-5,-8,-8,-13,4,-2,,,,,
,-405,-6,12,1,4,-2,7,-7,2,8,,6,12,6,6,7,3,-1,,,,,
,-401,-23,,24,19,15,16,24,14,20,14,24,11,14,17,4,17,-2,,,,,
,912,1,-5,-10,-15,-20,-14,-16,-5,-19,-14,-19,-24,-11,-20,-6,-13,2,,,,,
,-470,2,-24,-10,-14,-7,-7,-2,-8,-2,-7,-17,-8,-13,-19,-11,-21,13,,,,,
,-289,,-3,4,12,25,8,-2,1,12,1,-11,17,5,11,3,1,-5,,,,,
,788,-1,22,-1,3,3,-1,4,-7,-4,-3,10,-11,5,6,8,1,2,,,,,
,599,-1,1,-3,7,-15,6,-1,5,-7,-1,8,1,14,2,11,5,-8,,,,,
,-1836,,-4,9,2,13,8,10,8,-3,13,,2,2,6,7,3,-1,,,,,
,1386,1,6,-9,-7,3,-4,11,7,-5,-7,7,-7,5,1,-11,11,2,,,,,
,-1050,2,-8,,-7,3,-6,-9,-4,3,,-8,17,-11,-5,4,3,7,,,,,
,515,-2,10,4,-2,-15,2,-11,-6,3,9,5,-11,-12,-2,-4,-11,-7,,,,,
,-477,-1,-5,8,5,,-6,2,-11,5,-11,-6,3,2,-8,-3,-5,-7,,,,,
,1891,1,-12,-4,-6,7,-1,-5,-2,-1,5,12,6,7,-1,1,4,9,,,,,
,-1615,-26,5,-5,21,6,18,21,15,-3,15,9,7,6,10,2,7,6,,,,,
,2486,24,18,18,2,,12,-1,16,-2,10,-11,6,8,6,10,9,-6,,,,,
,-2327,-31,-8,2,-20,-3,-10,-14,-11,-1,-3,-6,-19,-6,-5,-10,-6,6,,,,,
,1102,34,10,-13,-8,-3,-11,-12,-13,-4,-11,-3,-7,-16,-11,-6,-9,5,,,,,
,-1281,-38,-6,-13,-3,-9,-19,-5,-8,-20,-10,-7,3,-22,-11,-15,-11,-10,,,,,
,291,4,-1,20,22,12,33,27,8,34,13,29,27,40,12,16,27,,,,,,
,52,,,-10,-8,2,-13,-2,1,5,1,-8,-7,14,-7,4,-10,-3,,,,,
,130,-14,-1,7,2,-5,-4,6,7,-25,-7,-12,-19,-13,10,-5,5,3,,,,,
,189,21,8,14,2,4,12,-4,5,14,2,21,3,-18,8,,5,7,,,,,
,-589,-21,-8,-9,-7,-16,-15,-2,-8,-8,2,-13,5,7,-6,3,-10,-1,,,,,
,-217,21,-14,,-5,-3,11,-13,-6,,-5,-10,-8,3,-3,-13,-13,-6,,,,,
,448,,17,4,7,-4,9,-2,9,11,1,10,9,-5,7,2,9,-12,,,,,
,-302,-26,5,-8,-4,-6,-14,,6,9,-1,-5,4,5,1,11,4,-3,,,,,
,170,19,-3,-2,15,8,-7,9,-5,-6,2,2,-4,-3,-7,12,-10,7,,,,,
,160,,-24,-8,-2,,-2,-4,-8,-9,-6,-12,1,-14,-8,-18,3,-3,,,,,
,35,-27,4,-8,-9,17,7,,1,-7,-3,-3,7,12,17,-3,2,-2,,,,,
,-54,27,10,-2,4,-21,-2,-7,-13,6,-9,1,-11,,-24,-12,-5,8,,,,,
,3,-10,-1,-2,-7,-9,-14,-14,20,4,-3,-10,-4,-22,-10,-1,-9,9,,,,,
,943,26,-14,-1,-9,14,4,5,-3,-11,13,3,-8,8,13,4,2,2,,,,,
,-1139,-52,,8,4,-13,-5,-2,-18,17,-4,14,1,10,2,9,3,-12,,,,,
,1862,27,14,14,16,23,7,28,,8,3,8,21,15,17,1,-1,-5,,,,,
,-1210,-22,7,8,-4,2,11,-1,4,-2,7,-6,-7,-5,,-9,15,8,,,,,
,-108,-10,4,-16,7,,3,-10,3,-4,-5,-3,-7,-3,5,12,5,-5,,,,,
,-1004,13,1,,12,12,2,6,3,11,2,8,4,9,-4,7,1,-2,,,,,
,898,-3,-10,6,-23,-21,-5,-6,2,-13,-6,7,-2,-7,1,-6,-11,9,,,,,
,-617,-10,-9,-7,1,1,-2,5,2,-10,9,-4,2,1,-17,-1,-2,-9,,,,,
,803,-3,11,-2,4,13,5,15,1,19,5,7,5,,9,8,19,-3,,,,,
,2583,13,15,7,1,9,1,-8,8,-6,6,-1,7,2,1,3,1,8,,,,,
,2232,-7,-2,-8,,-10,-12,-4,-2,-10,-14,-13,-5,-15,4,-6,-13,-10,,,,,
,-3378,7,-21,-2,6,-5,8,14,10,-8,-6,7,-4,22,13,1,-5,14,,,,,
,947,-13,-5,,5,-9,3,-13,-16,5,5,-3,9,-3,-16,-8,-15,6,,,,,
,-107,3,2,-7,-31,-16,-15,-15,-11,-10,-20,-5,-13,-21,-14,-3,11,-10,,,,,
,-2799,-13,12,9,12,15,7,17,17,12,15,10,13,20,13,19,16,-3,,,,,
,216,-9,21,-4,13,5,5,-1,-8,5,3,-2,-4,-14,4,-17,-10,-4,,,,,
,719,6,-17,-11,-10,-4,-8,-2,-10,-24,-11,-6,-5,6,-11,-9,-15,4,,,,,
,-895,17,-3,15,-2,-3,-4,-4,6,7,2,-7,-1,4,-3,15,7,3,,,,,
,-168,-22,-12,5,1,-5,,8,6,10,4,10,-12,-14,3,-6,3,-2,,,,,
,294,-4,5,-9,2,10,5,-6,-5,8,6,2,7,12,9,-3,4,-1,,,,,
,868,-9,-6,-6,-10,-3,-6,4,1,-8,-4,-14,,-9,-3,-9,-11,,,,,,
,-968,13,9,15,5,8,3,-6,-1,7,9,10,7,-2,10,7,5,8,,,,,
,1979,5,-10,12,12,11,9,-7,-13,-1,-6,6,-1,3,4,7,-4,-10,,,,,
